,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,MAGS260320P00030000,2025-09-05 16:21:15+00:00,30.0,0.08,0.0,0.4,0.0,0.0,1,1,0.5507857421875001,False,REGULAR,USD
1,MAGS260320P00035000,2025-08-25 18:46:13+00:00,35.0,0.4,0.0,0.7,0.0,0.0,2,14,0.5820354296875,False,REGULAR,USD
2,MAGS260320P00040000,2025-09-12 16:21:50+00:00,40.0,0.49,0.45,0.85,-0.050000012,-9.259261,2,58,0.4958546508789063,False,REGULAR,USD
3,MAGS260320P00045000,2025-09-10 13:32:15+00:00,45.0,0.75,0.0,1.05,0.0,0.0,1,16,0.4182187084960937,False,REGULAR,USD
4,MAGS260320P00046000,2025-09-11 18:40:08+00:00,46.0,0.89,0.0,1.25,0.0,0.0,9,11,0.42090422851562503,False,REGULAR,USD
5,MAGS260320P00047000,2025-09-04 19:35:57+00:00,47.0,1.1,0.0,1.3,0.0,0.0,2,7,0.405279384765625,False,REGULAR,USD
6,MAGS260320P00048000,2025-09-08 14:50:47+00:00,48.0,1.1,0.0,1.25,0.0,0.0,1,23,0.37915659912109373,False,REGULAR,USD
7,MAGS260320P00049000,2025-09-12 15:04:14+00:00,49.0,1.04,0.9,1.35,-0.5400001,-34.17722,1,82,0.36890279541015625,False,REGULAR,USD
8,MAGS260320P00050000,2025-09-12 19:04:22+00:00,50.0,1.25,0.6,1.45,-0.029999971,-2.3437479,1,283,0.3577945080566406,False,REGULAR,USD
9,MAGS260320P00051000,2025-09-02 17:34:25+00:00,51.0,2.01,1.1,1.6,0.0,0.0,2,39,0.3505924316406249,False,REGULAR,USD
10,MAGS260320P00052000,2025-09-10 14:18:20+00:00,52.0,1.55,0.45,1.85,0.0,0.0,1,141,0.35034829345703117,False,REGULAR,USD
11,MAGS260320P00053000,2025-09-10 13:45:16+00:00,53.0,1.75,1.4,1.8,0.0,0.0,5,123,0.3249579223632812,False,REGULAR,USD
12,MAGS260320P00054000,2025-09-12 15:40:12+00:00,54.0,1.75,1.6,2.0,-1.05,-37.5,2,72,0.3188544677734374,False,REGULAR,USD
13,MAGS260320P00055000,2025-09-12 18:53:10+00:00,55.0,1.96,1.85,2.15,-0.24000001,-10.909091,3,189,0.3078682495117187,False,REGULAR,USD
14,MAGS260320P00056000,2025-09-09 15:33:06+00:00,56.0,2.44,2.0,2.55,0.0,0.0,14,17,0.3129951513671875,False,REGULAR,USD
15,MAGS260320P00057000,2025-09-11 17:52:47+00:00,57.0,2.75,2.2,2.8,0.0,0.0,4,17,0.3061592822265625,False,REGULAR,USD
16,MAGS260320P00058000,2025-09-10 19:20:05+00:00,58.0,2.64,2.45,2.7,-0.31999993,-10.810808,1,58,0.2758861474609374,False,REGULAR,USD
17,MAGS260320P00059000,2025-09-12 14:58:16+00:00,59.0,2.93,2.7,3.0,-0.26999998,-8.437499,7,20,0.27020993469238286,False,REGULAR,USD
18,MAGS260320P00060000,2025-09-12 19:09:13+00:00,60.0,3.2,3.0,3.3,-0.43000007,-11.845732,203,150,0.2629468237304688,False,REGULAR,USD
19,MAGS260320P00061000,2025-09-12 19:20:53+00:00,61.0,3.53,3.3,3.6,-0.28999996,-7.5916224,1,27,0.25403578002929694,False,REGULAR,USD
20,MAGS260320P00062000,2025-09-12 19:14:50+00:00,62.0,3.85,3.6,4.0,-0.30999994,-7.4519215,15,37,0.2492140509033203,False,REGULAR,USD
21,MAGS260320P00063000,2025-08-22 15:08:38+00:00,63.0,5.64,4.1,4.5,0.0,0.0,1,1,0.24805439453125,True,REGULAR,USD
22,MAGS260320P00065000,2025-09-12 19:41:52+00:00,65.0,5.16,4.9,5.5,-0.5300002,-9.31459,30,8,0.2399978344726562,True,REGULAR,USD
23,MAGS260320P00067000,2025-08-29 13:54:56+00:00,67.0,7.9,6.0,6.5,0.0,0.0,1,15,0.22364057617187497,True,REGULAR,USD
24,MAGS260320P00068000,2025-09-10 13:30:04+00:00,68.0,7.28,6.4,7.2,0.0,0.0,10,40,0.22376264526367184,True,REGULAR,USD
25,MAGS260320P00069000,2025-08-22 16:03:58+00:00,69.0,9.79,7.0,7.8,0.0,0.0,10,30,0.2157060852050781,True,REGULAR,USD
26,MAGS260320P00070000,2025-09-12 19:42:13+00:00,70.0,8.18,7.9,8.4,-0.6499996,-7.3612638,15,49,0.20459779785156246,True,REGULAR,USD
27,MAGS260320P00075000,2025-09-10 13:30:04+00:00,75.0,12.88,12.0,12.3,0.0,0.0,10,72,0.1626060302734375,True,REGULAR,USD
28,MAGS260320P00080000,2025-08-21 18:58:24+00:00,80.0,21.62,16.5,17.5,0.0,0.0,1,1,0.23731231445312498,True,REGULAR,USD
