,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,FNGS260320C00053000,2025-07-29 19:52:26+00:00,53.0,15.9,0.0,0.0,0.0,0.0,10.0,8,1.0000000000000003e-05,True,REGULAR,USD
1,FNGS260320C00055000,2025-09-10 18:04:53+00:00,55.0,16.5,16.2,17.3,0.0,0.0,2.0,14,0.4691215197753906,True,REGULAR,USD
2,FNGS260320C00061000,2025-08-22 15:00:05+00:00,61.0,9.11,11.3,12.3,0.0,0.0,3.0,3,0.40064075927734377,True,REGULAR,USD
3,FNGS260320C00062000,2025-08-21 13:53:22+00:00,62.0,8.0,10.0,11.5,0.0,0.0,,10,0.38941040283203127,True,REGULAR,USD
4,FNGS260320C00065000,2025-08-29 18:43:47+00:00,65.0,6.55,8.4,9.2,0.0,0.0,3.0,8,0.3572451971435546,True,REGULAR,USD
5,FNGS260320C00066000,2025-09-03 15:32:02+00:00,66.0,5.9,7.7,8.5,0.0,0.0,1.0,0,0.3485172570800781,True,REGULAR,USD
6,FNGS260320C00067000,2025-08-21 16:46:33+00:00,67.0,4.9,7.0,7.9,0.0,0.0,1.0,8,0.3441227697753906,True,REGULAR,USD
7,FNGS260320C00070000,2025-07-30 18:20:34+00:00,70.0,4.5,3.5,4.0,0.0,0.0,,5,0.21833057067871092,False,REGULAR,USD
8,FNGS260320C00072000,2025-09-05 13:48:36+00:00,72.0,3.8,4.2,4.8,0.0,0.0,20.0,31,0.3002999658203125,False,REGULAR,USD
9,FNGS260320C00073000,2025-08-29 16:36:36+00:00,73.0,2.55,3.7,4.3,0.0,0.0,5.0,5,0.29395237304687494,False,REGULAR,USD
10,FNGS260320C00074000,2025-07-28 14:42:05+00:00,74.0,2.75,0.0,0.0,0.0,0.0,,6,0.0312596875,False,REGULAR,USD
