symbol,weeks,CAGR,median change,gmean change,std,gmean/std
AJG,254,0.23528508048219465,0.2519540464406641,0.2482822036557728,0.0984285101512086,2.522462275151324
EHF1.DE,254,0.11780863283574283,0.11572927129359312,0.10950554680474589,0.0598889376997787,1.8284770278226279
RSG,254,0.2309624658677365,0.25766957690086345,0.227690663796132,0.1398036644406086,1.6286458921315297
BRK-B,254,0.17299608381648812,0.20202089967745862,0.16910439233945906,0.13001585547756575,1.3006443846276736
AVGO,254,0.5561987025233657,0.6452870292458093,0.5318913266437264,0.4124809510083641,1.2894930671184883
ESIF.DE,254,0.21554787787089413,0.21553272159130588,0.1829742302224442,0.14475170568696882,1.264055779889275
PPA,254,0.19076303386627336,0.17181274805784652,0.16413148911862763,0.13848593039460172,1.1851853011417945
GC=F,254,0.14523416845487747,0.11620147652756074,0.14506636391614136,0.1609462095287652,0.9013344541687656
AAPL,254,0.13567288494536855,0.16851613449449399,0.14461448981034297,0.16206049240578255,0.8923488239702703
BKNG,254,0.2358779382009384,0.33639635836242787,0.23233530024725435,0.28523184238481664,0.8145489588564322
SPY,254,0.13884378710963596,0.1569611272134157,0.11507839470939962,0.15190957704937014,0.7575453565511509
NVDA,254,0.736554842152153,0.8936267584804833,0.7243205689538268,0.9629293195750497,0.7522053324469097
SPMO,254,0.19851609367467504,0.16594990943538246,0.17510943449005079,0.23487756538505375,0.7455349522334317
MSFT,254,0.20530371687813376,0.20137683138496876,0.15721821869294428,0.24594731468289377,0.6392353537002419
QTUM,254,0.19870201260068598,0.25071674921209297,0.15658072139217016,0.246026759695771,0.6364377663055555
SMH,254,0.23982956988051907,0.25767366925654345,0.20953885612960077,0.3396869355069924,0.61685874323326
QQQ,254,0.14559340985399327,0.20800395661015514,0.12172477907171775,0.22521509444539445,0.5404823303316869
FNGS,254,0.20914728510038616,0.3406903429274769,0.18659425355116355,0.3687238846332851,0.5060541541450214
ISRG,254,0.1428195620074153,0.2527710011720762,0.1604173363572834,0.34124974494047566,0.47008778390520134
NOW,254,0.12208952665552664,0.1888308766497071,0.14862746351539058,0.3454556516239706,0.4302360167410778
GOOG,254,0.19712132443543973,0.22270844566284242,0.12350949246779597,0.29384859942801944,0.4203167641711037
USD,254,0.4931495303243414,0.5791029792430187,0.4262803158695596,1.0642696740175737,0.4005378770780616
BTC-USD,254,0.33766980942883795,0.47923641171052367,0.2399738671670919,0.7657263123468142,0.3133937848258275
NFLX,254,0.1996211531467762,0.5787923793079174,0.17580063383039946,0.5905014687726631,0.2977141347265317
META,254,0.24523181284323803,0.42118537824019464,0.20641310689341652,0.729457960613085,0.282967789836625
PLTR,254,0.46296409490559354,0.794628496783492,0.4266664394061661,1.700569843207194,0.25089615760884804
TSLA,254,0.08310335941483027,0.10108244793420174,0.08146023553899173,0.42435885951217917,0.19196072784396248
AMZN,254,0.07739629731616127,0.11503580810953551,0.06497476521839785,0.36426896785115903,0.17837030039008608
NET,254,0.2246890668882049,0.2859423451905341,0.09681771051710619,0.6246978730328286,0.15498325622123305
CRM,254,0.021898356752546366,0.10541495297501668,0.044562919212411733,0.34349613745643554,0.12973339246955434
WDAY,254,-0.004659692622599021,0.0021513241033238595,-0.002020653682003992,0.3175044573012552,-0.006364174220353548
UFO,254,0.057867352948256956,-0.11213966790367358,-0.0209544351764841,0.32866563412519123,-0.06375608825747324
SHOP,254,0.03365675681257341,0.32211136930697915,-0.044295429797262975,0.6244921380550514,-0.07093032417544728
SNOW,254,-0.0751394964140566,-0.10163841293907683,-0.11342286702158844,0.36357739981209003,-0.3119634693471307
