symbol,days,SMA50,SMA200
SPY,1257,0.2740066225165563,0.3742911153119093
QQQ,1257,0.30960264900662254,0.3771266540642722
TQQQ,1257,0.3162251655629139,0.3752362948960302
IGM,1257,0.2706953642384106,0.3553875236294896
XLKS.MI,1274,0.3306122448979592,0.40837209302325583
MAGS,469,0.05476190476190476,0.05185185185185185
MAGX,246,0.07614213197969544,0.02127659574468085
MAG7.L,224,0.1657142857142857,0.04
FNGS,1257,0.23178807947019867,0.4773156899810964
FNGU,1257,0.27897350993377484,0.497164461247637
SMH,1257,0.3402317880794702,0.2495274102079395
USD,536,0.22381930184804927,0.04747774480712166
NVDA,1257,0.29387417218543044,0.24763705103969755
TSLA,1257,0.11092715231788079,0.6937618147448015
MSFT,1257,0.13327814569536423,0.1843100189035917
GOOG,1257,0.1076158940397351,0.3052930056710775
AAPL,1257,0.4735099337748344,0.5482041587901701
AMZN,1257,0.1597682119205298,0.6068052930056711
CRM,1257,0.1597682119205298,0.552930056710775
NFLX,1257,0.6481788079470199,0.8742911153119093
SHOP,1257,0.47433774834437087,0.8648393194706995
NET,1257,0.7897350993377483,0.9149338374291115
NOW,1257,0.048013245033112585,0.3534971644612476
SNOW,1114,0.5793427230046948,0.9103825136612022
