symbol,weeks,change,median,std,ratio
NUKZ,13,0.032573315681378535,0.030818347189893402,0.025131996302895254,1.2960894665429354
UFO,13,0.03087115644431404,0.02346373294888271,0.029636548869689267,1.0416582774213454
AVGO,13,0.041410767128292815,0.02201853763641448,0.042160809984586774,0.9822099514556727
QTUM,13,0.02698987057518487,0.030005730834562483,0.02823102698052993,0.9560357330889504
SMH,13,0.03773483336212088,0.01931416757432647,0.040532843774041705,0.9309693041149818
USD,13,0.08473812433367388,0.04955562044062267,0.09326584913081523,0.908565408704098
SNOW,13,0.03892825156891074,0.033371286844770975,0.0430295164916134,0.9046871715720531
NVDA,13,0.04496461215178277,0.030343414311717387,0.051670275575805315,0.8702220309588888
MSFT,13,0.02771190513040957,0.015751198888159124,0.032813687175784104,0.8445227438768431
SPMO,13,0.023418700456629676,0.011441435892303176,0.028672791243631555,0.8167569127693889
NET,13,0.05534938125482397,0.04614736694419708,0.06873053904795767,0.8053098669312514
IGM,13,0.027546813622074173,0.019060390539329286,0.035018688866648114,0.7866317818743301
XLKS.MI,13,0.028087662131320985,0.017137916574163192,0.03590247218083873,0.7823322580641526
META,13,0.03742478817202871,0.01590957844781965,0.048137173626813676,0.7774612706214666
QQQ,13,0.0219817843634116,0.017677424220101434,0.028507357052311885,0.7710916281391622
QTOP,13,0.02303689785942768,0.014911047149083978,0.02994822636480817,0.7692241129343834
SPY,13,0.01810368350739172,0.016752215461689257,0.0237044347566686,0.7637255936802603
TQQQ,13,0.06597417826374531,0.05002007940755726,0.08756105494285894,0.7534648629667503
MGK,13,0.023719205257568172,0.016647470144723897,0.03176242125340313,0.7467694313457548
TOPT,13,0.02032030763641292,0.012239200322302857,0.027530046152610902,0.7381138238479044
AMZN,13,0.026300683136165515,0.011709363420178476,0.03604506178477159,0.729661202780268
MAGS,13,0.02707742501074878,0.007612363281952583,0.03815634690380679,0.7096440620746981
FNGS,13,0.030134170419775896,0.017624157778566074,0.04266146050508383,0.7063558083339624
BTC-USD,13,0.034607653722372234,0.015141858171205835,0.04905607731702421,0.7054712813403476
PLTR,13,0.05321016615483735,0.04264748737067736,0.07878149599826322,0.6754145180996614
MAGX,13,0.05265450130147135,0.013016932370178314,0.07811042225787063,0.6741034010498609
BKNG,13,0.026276575384498808,0.010747163888670586,0.039630384752981675,0.6630411374575876
NFLX,13,0.03034228902569421,0.017156708677919297,0.0485948780088765,0.6243927399128729
GOOG,13,0.024526724559308526,0.012382612616862576,0.04358418179459727,0.5627437191524581
SHOP,13,0.04904708644733591,0.023592264206233948,0.08883703929162953,0.5521017678935328
XYZ,13,0.04559034711256651,0.043413884077523446,0.08824019586420205,0.5166618984247059
TSLA,13,0.04401089665913508,0.006247048330280891,0.09087437376731336,0.48430481371818135
AAPL,13,0.02133326739378751,0.007841508838270284,0.04406249463496226,0.48415931895195524
ISRG,13,0.021579423341004156,0.016776364815098144,0.04544447579941786,0.4748525087240765
CRM,13,0.021868646594417212,0.004933164391872968,0.04793012892727485,0.45626095910567777
NOW,13,0.03517791751654444,0.0128005061241514,0.07854022913664371,0.44789680273713184
GC=F,13,0.013286703587091239,0.0007518035092622388,0.029939512123691104,0.44378490645401947
WDAY,13,0.02476332505313139,0.019359786119298894,0.05987847586083851,0.41355970901268385
RSG,13,0.0058645601852618245,-0.004968945869976427,0.015097157491496314,0.38845459408932576
AJG,13,0.008398384147753549,-0.00321271835943876,0.02563437634444129,0.32762194152520135
BRK-B,13,0.003755620151769797,-0.003458792341254069,0.019197258587090434,0.19563314911512086
