Fund name,"Fund size (in m €)","Return/Risk 5Y",Ticker
iShares STOXX Europe 600 Utilities UCITS ETF (DE),682,0.79,EXH9
Fidelity US Quality Income UCITS ETF ACC-USD,234,0.79,FUSA
Fidelity US Quality Income UCITS ETF INC-USD,"1,231",0.79,FUSD
Invesco MSCI Europe Universal Screened UCITS ETF Acc,175,0.79,ESGE
Amundi MSCI World Swap UCITS ETF USD Acc,108,0.79,XAMZ
Xtrackers MSCI UK ESG UCITS ETF 1D,658,0.79,XASX
Amundi MSCI World Swap II UCITS ETF EUR Hedged Dist,619,0.79,DJAB
SPDR MSCI Europe Utilities UCITS ETF,752,0.79,SPYU
Xtrackers DAX ESG Screened UCITS ETF 4C CHF Hedged,16,0.79,XDCH
UBS CMCI Composite SF UCITS ETF USD acc,"1,047",0.79,UIQK
iShares Edge MSCI Europe Momentum Factor UCITS ETF,859,0.79,CEMR
Xtrackers MSCI EMU UCITS ETF 2C GBP hedged,22,0.79,XD5S
SPDR S&P Euro Dividend Aristocrats UCITS ETF (Dist),"1,518",0.79,SPYW
Amundi S&P 500 Swap UCITS ETF EUR Acc,"2,340",0.79,AUM5
JPMorgan US Research Enhanced Index Equity (ESG) UCITS ETF USD (dist),958,0.79,JRUD
iShares S&P 500 Swap UCITS ETF USD (Acc),"10,287",0.79,I500
Ossiam Shiller Barclays CAPE® Europe Sector Value TR UCITS ETF 1C (EUR),142,0.79,EUPE
Amundi MSCI Emerging Ex China UCITS ETF Acc,"3,577",0.79,EMXC
iShares EURO STOXX UCITS ETF (DE),"2,928",0.79,EXSI
JPMorgan US Research Enhanced Index Equity (ESG) UCITS ETF USD (acc),"8,867",0.79,JREU
Amundi MSCI Europe Momentum Factor UCITS ETF EUR (C),133,0.79,MJMT
SPDR MSCI All Country World Investable Market UCITS ETF (Acc),"4,335",0.79,SPYI
Market Access NYSE Arca Gold Bugs UCITS ETF,116,0.79,M9SD
BNP Paribas Easy Energy & Metals Enhanced Roll UCITS ETF USD,121,0.79,XU62
"Xtrackers MSCI EM Europe, Middle East and Africa ESG Swap UCITS ETF 1C",32,0.79,XMEA
Invesco MSCI Europe ex-UK UCITS ETF,57,0.79,MXUK
Amundi Global Bioenergy UCITS ETF USD Acc,4,0.78,X136
iShares Core MSCI EMU UCITS ETF EUR (Acc),"6,186",0.78,SXR7
Amundi Core Stoxx Europe 600 UCITS ETF EUR Hedged Dist,48,0.78,STXH
Amundi STOXX Europe 600 Utilities UCITS ETF Acc,146,0.78,LUTI
VanEck Junior Gold Miners UCITS,"1,319",0.78,G2XJ
Amundi MSCI World ESG Selection UCITS ETF Acc,"1,802",0.78,MWOP
Amundi MSCI All Country World UCITS ETF USD Acc,170,0.78,LYAC
BNP Paribas Easy S&P 500 UCITS ETF,240,0.78,ESEA
JPMorgan Carbon Transition Global Equity (CTB) UCITS ETF USD (acc),405,0.78,JPCT
Amundi STOXX Europe 600 Utilities UCITS ETF Dist,21,0.78,LUTL
iShares Edge MSCI Europe Momentum Factor UCITS ETF EUR (Dist),45,0.78,IS0U
UBS Core MSCI EMU UCITS ETF EUR dis,"1,665",0.78,UIM4
Xtrackers MSCI EMU UCITS ETF 1D,"1,948",0.78,XD5E
Amundi Core S&P 500 Swap UCITS ETF CHF Hedged Dist,116,0.78,8P10
Invesco European Construction Sector UCITS ETF,37,0.78,SC01
Xtrackers S&P 500 Swap UCITS ETF 1C,"3,990",0.78,D5BM
iShares STOXX Europe 600 Construction & Materials UCITS ETF (DE),981,0.78,EXV8
Xtrackers MSCI World Quality UCITS ETF 1C,"2,376",0.78,XDEQ
Vanguard FTSE Developed Europe ex UK UCITS ETF (EUR) Accumulating,"1,228",0.78,VERE
Vanguard FTSE Developed Europe ex UK UCITS ETF (EUR) Distributing,"3,297",0.78,VERX
UBS MSCI EMU Select Factor Mix UCITS ETF EUR acc,15,0.78,UIQN
iShares Edge MSCI World Quality Factor UCITS ETF (Acc),"3,961",0.78,IS3Q
SPDR MSCI EMU UCITS ETF,317,0.78,ZPRE
WisdomTree Coffee,29,0.78,OD7B
Invesco S&P 500 UCITS ETF Acc,"30,510",0.78,P500
iShares EUR High Yield Corporate Bond UCITS ETF EUR (Dist),"5,909",0.78,EUNW
iShares MSCI Europe ESG Enhanced CTB UCITS ETF EUR (Acc),"2,187",0.78,EDM6
iShares Core S&P 500 UCITS ETF USD (Dist),"17,074",0.78,IUSA
iShares Core S&P 500 UCITS ETF USD (Acc),"113,972",0.78,SXR8
Franklin U.S. Equity UCITS ETF,56,0.78,FLXU
Amundi MSCI World ex Europe UCITS ETF EUR (C),730,0.78,CE8G
Xtrackers II Rolling Target Maturity Sept 2027 EUR High Yield UCITS ETF 1D,261,0.77,XHY1
SPDR S&P 500 UCITS ETF (Dist),"14,897",0.77,SPY5
Xtrackers MSCI Singapore UCITS ETF 1C,83,0.77,XBAS
iShares China CNY Bond UCITS ETF USD Hedged (Dist),783,0.77,AYEQ
iShares MSCI Europe ESG Enhanced CTB UCITS ETF EUR (Dist),"4,452",0.77,EMNU
iShares MSCI World SRI UCITS ETF USD Hedged (Dist),57,0.77,AYET
Fidelity Europe Equity Research Enhanced UCITS ETF ACC-Euro,130,0.77,FEUR
Amundi EURO STOXX 50 II UCITS ETF Acc,"4,071",0.77,LYSX
iShares STOXX Europe 600 Telecommunications UCITS ETF (DE),186,0.77,EXV2
iShares Core EURO STOXX 50 UCITS ETF EUR (Dist),"5,414",0.77,EUN2
HSBC Europe Screened Equity UCITS ETF EUR,29,0.77,H413
L&G Europe ex UK Equity UCITS ETF,920,0.77,ETLN
Xtrackers MSCI Europe UCITS ETF 1D,139,0.77,XIEE
Xtrackers MSCI Europe UCITS ETF 1C,"7,293",0.77,XMEU
Amundi Multi-Asset Portfolio Offensive UCITS ETF Dist,39,0.77,F703
Amundi Core S&P 500 Swap UCITS ETF USD Dist,"3,488",0.77,6TVM
iShares MSCI World GBP Hedged UCITS ETF (Acc),482,0.77,2B73
iShares Dow Jones Eurozone Sustainability Screened UCITS ETF (DE),208,0.77,EXXV
Xtrackers Swiss Large Cap UCITS ETF 1D,"1,751",0.77,XSMI
iShares Bloomberg Roll Select Commodity Swap UCITS ETF USD,"1,604",0.77,IS39
Amundi STOXX Europe 600 Telecommunications UCITS ETF Acc,37,0.77,LTCM
Amundi STOXX Europe 600 Telecommunications UCITS ETF Dist,3,0.77,INDB
Invesco US Technology Sector UCITS ETF,"1,559",0.77,SML3
Vanguard S&P 500 UCITS ETF (USD) Distributing,"41,874",0.77,VUSA
BNP Paribas Easy Energy & Metals Enhanced Roll UCITS ETF EUR,188,0.77,GSDE
Xtrackers Swiss Large Cap UCITS ETF 1C,779,0.77,XSMC
HSBC S&P 500 UCITS ETF USD,"7,225",0.77,H4ZF
VanEck Multi-Asset Balanced Allocation UCITS ETF,39,0.77,2TCC
iShares MSCI EMU Large Cap UCITS ETF,153,0.77,IS3G
UBS MSCI Japan Socially Responsible UCITS ETF hEUR acc,103,0.76,U1FB
BNP Paribas Easy S&P 500 UCITS ETF USD,"3,210",0.76,ESAP
iShares STOXX World Equity Multifactor UCITS ETF USD (Acc),651,0.76,IBCZ
Xtrackers MSCI World ESG UCITS ETF 1C,"5,589",0.76,XZW0
Xtrackers S&P Europe ex UK UCITS ETF,286,0.76,XUEK
Xtrackers MSCI North America High Dividend Yield UCITS ETF 1C,118,0.76,XDND
Vanguard S&P 500 UCITS ETF (USD) Accumulating,"25,860",0.76,VUAA
WisdomTree Live Cattle,2,0.76,OD7K
Fidelity Global Equity Research Enhanced UCITS ETF ACC-USD,199,0.76,FGLR
UBS MSCI Switzerland 20/35 UCITS ETF CHF acc,"2,427",0.76,FRCF
iShares MSCI World EUR Hedged UCITS ETF (Acc),"4,890",0.76,IBCH
iShares MSCI Europe ex-UK UCITS ETF,"1,318",0.76,IQQU
Fidelity Global Quality Income UCITS ETF INC-GBP (hedged),56,0.76,FEUG
Amundi ETF MSCI Europe Ex EMU ESG Leaders UCITS ETF,234,0.76,540H
Xtrackers MSCI Europe Utilities Screened UCITS ETF 1C,68,0.76,XS6R
Amundi Core MSCI EMU UCITS ETF Acc,300,0.76,B8TI
SPDR S&P Global Dividend Aristocrats UCITS ETF,"1,327",0.75,ZPRG
Xtrackers MSCI USA Consumer Staples UCITS ETF 1D,152,0.75,XUCS
UBS Factor MSCI EMU Prime Value Screened UCITS ETF EUR dis,64,0.75,UIMZ
WisdomTree Global Quality Dividend Growth UCITS ETF USD,278,0.75,WTEQ
Fidelity Global Quality Income UCITS ETF INC-Euro (hedged),38,0.75,FGEU
BNP Paribas Easy MSCI EMU Min TE UCITS ETF,"1,140",0.75,EMUX
iShares MSCI EMU Screened UCITS ETF EUR (Dist),683,0.75,SLMB
Amundi Dow Jones Industrial Average UCITS ETF Dist,337,0.75,DJAM
First Trust United Kingdom AlphaDEX UCITS ETF Acc,10,0.75,FKU
VanEck S&P Global Mining UCITS ETF A,"1,642",0.75,WMIN
Amundi MSCI Switzerland UCITS ETF EUR (C),236,0.75,540J
Amundi Multi-Asset Portfolio UCITS ETF Dist,239,0.75,F701
Amundi Core MSCI EMU UCITS ETF Dist,594,0.75,LMVF
Invesco European Telecoms Sector UCITS ETF,7,0.75,SC0Q
UBS MSCI USA Value UCITS ETF USD dis,436,0.75,UBU5
iShares S&P 500 Consumer Staples Sector UCITS ETF,577,0.74,2B7D
iShares MSCI EMU Screened UCITS ETF EUR (Acc),"1,465",0.74,SLMA
iShares Dow Jones US Select Dividend UCITS ETF (DE),362,0.74,EXX5
iShares S&P 500 Information Technology Sector UCITS ETF USD (Acc),"12,387",0.74,QDVE
iShares MSCI EMU ESG Enhanced CTB UCITS ETF EUR (Acc),"2,941",0.74,EDM4
SPDR EURO STOXX Low Volatility UCITS ETF EUR,35,0.74,ZPRL
Vanguard LifeStrategy 60% Equity UCITS ETF Distributing,92,0.74,V60D
Amundi MSCI Europe ex Switzerland ESG Broad Transition UCITS ETF Acc,637,0.74,X13Z
Amundi MSCI EMU High Dividend UCITS ETF UCITS ETF Acc,293,0.74,18M2
Xtrackers S&P Select Frontier Swap UCITS ETF 1C,120,0.74,DX2Z
Xtrackers MSCI World Utilities UCITS ETF 1C,568,0.74,XDWU
VanEck AEX UCITS ETF,393,0.74,2TCA
Xtrackers EUR High Yield Corporate Bond UCITS ETF 1D,"1,108",0.74,XHYG
Xtrackers EUR High Yield Corporate Bond UCITS ETF 1C,"1,835",0.74,XHYA
Vanguard LifeStrategy 60% Equity UCITS ETF Accumulating,712,0.74,V60A
UBS Core MSCI Europe UCITS ETF EUR dis,"1,052",0.74,UIMA
iShares Dow Jones Industrial Average UCITS ETF (Acc),"1,471",0.74,SXRU
VanEck Semiconductor UCITS ETF,"3,951",0.74,VVSM
Deka MSCI USA Large Cap UCITS ETF,114,0.74,EL4I
iShares MSCI EMU ESG Enhanced CTB UCITS ETF EUR (Dist),481,0.74,EMNE
Fidelity US Equity Research Enhanced UCITS ETF ACC-USD,"1,092",0.73,FUSR
Xtrackers SLI UCITS ETF 1D,435,0.73,DXS0
Vanguard FTSE North America UCITS ETF (USD) Distributing,"2,497",0.73,VNRT
Vanguard FTSE North America UCITS ETF (USD) Accumulating,"2,106",0.73,VNRA
Invesco European Utilities Sector UCITS ETF,6,0.73,SC0Z
iShares MSCI World ESG Enhanced CTB UCITS ETF USD (Acc),"3,844",0.73,EDMW
WisdomTree Global Quality Dividend Growth UCITS ETF USD Acc,638,0.73,WTEM
Xtrackers MSCI USA ESG UCITS ETF 1C,"7,845",0.73,XZMU
iShares Physical Silver ETC,"3,467",0.73,PPFD
Xtrackers MSCI Taiwan UCITS ETF 1C,167,0.73,DBX5
Invesco MSCI USA UCITS ETF,"6,517",0.73,SC0H
L&G MSCI Europe Climate Pathway UCITS ETF EUR Accumulating ETF,"1,321",0.73,DELF
Xtrackers MSCI GCC Select Swap UCITS ETF 1C,23,0.73,XGLF
Ossiam Shiller Barclays CAPE® US Sector Value TR UCITS ETF 1C (EUR),839,0.73,USCP
Franklin FTSE Asia ex China ex Japan UCITS ETF,567,0.73,FVSJ
Amundi MSCI Switzerland UCITS ETF CHF,336,0.73,18MN
Ossiam Shiller Barclays CAPE® US Sector Value TR UCITS ETF 1C (USD),"1,895",0.73,EUPC
Xtrackers MSCI USA Swap UCITS ETF 1C,"4,334",0.73,XMUS
Expat Romania BET UCITS ETF,2,0.73,ROX
WisdomTree Broad Commodities Longer Dated,2,0.73,9GAF
Invesco European Industrials Sector UCITS ETF Acc,19,0.73,SC0S
Ossiam Europe ESG Machine Learning UCITS ETF 1C (EUR),18,0.73,OSX4
L&G US Equity UCITS ETF,999,0.72,ETLS
iShares MSCI USA Screened UCITS ETF USD (Dist),"1,301",0.72,SLUS
iShares MSCI World Islamic UCITS ETF,845,0.72,IUSD
Amundi MSCI EMU ESG Broad Transition UCITS ETF Acc,"1,127",0.72,LGQG
iShares MSCI USA Screened UCITS ETF USD (Acc),"13,613",0.72,SGAS
iShares MSCI World ESG Enhanced CTB UCITS ETF USD (Dist),985,0.72,EMND
iShares AEX UCITS ETF EUR (Acc),61,0.72,AYE7
Amundi MSCI Europe Climate Paris Aligned UCITS ETF Acc,111,0.72,EABE
Xtrackers MSCI USA UCITS ETF 1C,"9,200",0.72,XD9U
UBS Core MSCI USA UCITS ETF USD acc,"2,195",0.72,4UBB
Franklin S&P 500 Paris Aligned Climate UCITS ETF,400,0.72,FLX5
Amundi Core EURO STOXX 50 UCITS ETF USD Acc,42,0.72,X13U
Amundi S&P Eurozone Climate Paris Aligned UCITS ETF Acc,"2,649",0.72,ZPAB
iShares EUR High Yield Corporate Bond UCITS ETF EUR (Acc),"1,661",0.72,SXRI
UBS Core MSCI USA UCITS ETF USD dis,"1,161",0.72,UBU3
iShares MSCI North America UCITS ETF,"1,063",0.72,IQQN
iShares MSCI USA UCITS ETF (Acc),"2,939",0.72,SXR4
Invesco Physical Silver,"1,046",0.72,8PSB
Amundi Core MSCI USA UCITS ETF Acc,"2,675",0.72,WEBH
iShares USD Corporate Bond Interest Rate Hedged UCITS ETF,68,0.72,IS3F
iShares SLI UCITS ETF (DE),566,0.72,EXI1
WisdomTree Physical Precious Metals,368,0.72,VZLE
iShares STOXX Europe 600 Industrial Goods & Services UCITS ETF (DE),555,0.71,EXH4
HSBC USA SCREENED EQUITY UCITS ETF USD,613,0.71,H412
Expat Macedonia MBI10 UCITS ETF,0,0.71,MKK1
Xtrackers DAX UCITS ETF 1C,"6,924",0.71,DBXD
JPMorgan BetaBuilders US Equity UCITS ETF (Acc),71,0.71,BBUS
UBS Factor MSCI EMU Low Volatility UCITS ETF EUR dis,9,0.71,UIMY
SPDR MSCI Emerging Markets Small Cap UCITS ETF,409,0.71,SPYX
Deka DAX (ausschüttend) UCITS ETF,"1,014",0.71,EL4F
Amundi STOXX Europe 600 Industrials UCITS ETF Dist,36,0.71,INDU
Amundi STOXX Europe 600 Industrials UCITS ETF Acc,377,0.71,LIGS
UBS MSCI Australia UCITS ETF hEUR acc,33,0.71,BCF0
Xtrackers Portfolio UCITS ETF 1C,689,0.71,XQUI
Deka DAX UCITS ETF,"1,730",0.71,EL4A
UBS MSCI USA UCITS ETF USD dis,437,0.71,UIM6
HSBC MSCI Taiwan Capped UCITS ETF USD,67,0.71,H4ZU
Amundi Core DAX UCITS ETF Dist,"1,608",0.71,C001
iShares Core DAX® UCITS ETF (DE) EUR (Acc),"8,709",0.71,EXS1
Amundi ETF DAX UCITS ETF DR,"1,525",0.7,CG1G
iShares Edge MSCI USA Quality Factor UCITS ETF,"1,303",0.7,QDVB
iShares EUR High Yield Corporate Bond ESG SRI UCITS ETF EUR (Acc),"3,722",0.7,AYE2
PIMCO US Short-Term High Yield Corporate Bond UCITS ETF Dist,450,0.7,PJSC
Deka MSCI USA Climate Change ESG UCITS ETF,681,0.7,D6RQ
Amundi S&P 500 Swap UCITS ETF USD Acc,"2,776",0.7,10AP
iShares Dow Jones Industrial Average UCITS ETF (DE),302,0.7,EXI3
Xtrackers MSCI World Consumer Staples UCITS ETF 1C,803,0.7,XDWS
Invesco FTSE RAFI Emerging Markets UCITS ETF,84,0.7,6PSK
iShares USD Corporate Bond Interest Rate Hedged UCITS ETF USD (Acc),95,0.7,OM3I
Xtrackers S&P 500 UCITS ETF 3C CHF hedged,59,0.7,XDPC
Amundi MSCI North America ESG Broad Transition UCITS ETF Acc,549,0.7,WEB1
Fidelity Europe Quality Income UCITS ETF ACC-Euro,29,0.7,FEUQ
HSBC UK Screened Equity UCITS ETF GBP,31,0.7,R390
Amundi Global Gender Equality UCITS ETF Acc,49,0.7,VOOM
WisdomTree Japan Equity UCITS ETF USD Acc,254,0.7,WTIZ
iShares Edge MSCI USA Value Factor UCITS ETF,"2,800",0.7,QDVI
iShares MSCI USA Islamic UCITS ETF,276,0.7,IUSF
UBS Global Gender Equality UCITS ETF hEUR acc,22,0.7,GGUE
Xtrackers CAC 40 UCITS ETF 1D,114,0.69,DX2G
SPDR MSCI World Consumer Staples UCITS ETF,131,0.69,SS40
Deka MSCI USA UCITS ETF,382,0.69,EL4Z
Xtrackers MSCI World Screened UCITS ETF 1D,120,0.69,XDWY
iShares Edge S&P 500 Minimum Volatility UCITS ETF (Acc),"1,259",0.69,IBCK
SPDR Bloomberg Euro High Yield Bond UCITS ETF EUR Unhedged (Dist),574,0.69,SYBJ
Fidelity Europe Quality Income UCITS ETF INC-Euro,27,0.69,FEUI
Invesco S&P 500 UCITS ETF Dist,"8,362",0.69,D500
SPDR MSCI All Country World UCITS ETF EUR Hedged (Acc),"1,072",0.69,SPP1
Xtrackers MSCI EMU Screened UCITS ETF 1D,11,0.69,XMVE
Amundi CAC 40 ESG UCITS ETF DR - EUR (C),600,0.69,GC40
iShares Edge MSCI USA Quality Factor UCITS ETF USD (Dist),135,0.69,IS38
HSBC MSCI USA Quality UCITS ETF USD,322,0.69,H4ZD
Amundi DAX II UCITS ETF Dist,78,0.69,LDAX
Amundi CAC 40 ESG UCITS ETF DR - EUR (D),68,0.69,AFIH
SPDR MSCI Europe Small Cap Value Weighted UCITS ETF,555,0.69,ZPRX
Amundi Pan Africa UCITS ETF Acc,99,0.69,LGQM
iShares USD Short Duration High Yield Corporate Bond UCITS ETF,793,0.69,IS3K
Amundi DAX II UCITS ETF Acc,"1,320",0.69,LYY7
BNP Paribas Easy MSCI USA Min TE UCITS ETF,"1,353",0.69,ENOA
Amundi S&P 500 Buyback UCITS ETF EUR (C),56,0.68,B500
L&G US ESG Exclusions Paris Aligned UCITS ETF USD Accumulating,154,0.68,DELG
Amundi Core MSCI USA UCITS ETF Dist,903,0.68,WEBI
WisdomTree Heating Oil,5,0.68,OD7I
Goldman Sachs ActiveBeta® Paris-Aligned Sustainable US Large Cap Equity UCITS ETF CLASS USD (Acc.),132,0.68,GACA
