Fund name,"Fund size (in m €)","Return/Risk 5Y",Ticker
WisdomTree Physical Swiss Gold,"4,967",1.42,GZUR
Invesco European Banks Sector UCITS ETF,690,1.41,SC0U
iShares EUR Corporate Bond Interest Rate Hedged ESG SRI UCITS ETF,218,1.41,IS0Y
iShares EURO STOXX Banks 30-15 UCITS ETF (DE),"2,387",1.4,EXX1
EUWAX Gold,957,1.39,GOLD
Amundi Euro Stoxx Banks UCITS ETF Acc,"5,118",1.39,LYBK
WisdomTree Core Physical Gold,"1,579",1.36,WGLD
Amundi Index Euro Corporate SRI 0-3 Y UCITS ETF DR (C),"2,780",1.36,ECR3
Xtrackers Spanish Equity UCITS ETF 1D,309,1.35,XESD
Xtrackers Spanish Equity UCITS ETF 1C,190,1.35,XESP
Amundi IBEX 35 UCITS ETF Acc,413,1.35,AMES
Invesco EURO STOXX Optimised Banks UCITS ETF,176,1.35,S7XE
WisdomTree Physical Gold,"7,492",1.34,VZLD
Amundi Global Equity Quality Income UCITS ETF Dist,110,1.3,LGQI
Gold Bullion Securities,"4,236",1.29,GG9B
Expat Czech PX UCITS ETF,1,1.25,CZX
Amundi Euro Inflation Expectations 2-10Y UCITS ETF Acc,138,1.25,EUIN
WisdomTree Physical Gold - EUR Daily Hedged,"1,528",1.25,GBSE
Franklin European Quality Dividend UCITS ETF (Dist),350,1.25,FLXD
Xtrackers Physical Gold EUR Hedged ETC,"2,286",1.22,XAD1
iShares MSCI Europe Financials Sector UCITS ETF EUR (Acc),"1,996",1.22,ESIF
Xtrackers IE Physical Gold EUR Hedged ETC Securities,"1,301",1.22,XGDE
SPDR MSCI Europe Financials UCITS ETF,762,1.22,SPYZ
Invesco Physical Gold EUR Hedged ETC,"1,014",1.22,8PSE
Deka Euro Corporates 0-3 Liquid UCITS ETF,62,1.21,ELFF
Xtrackers STOXX Global Select Dividend 100 Swap UCITS ETF 1D,841,1.2,XGSD
WisdomTree Japan Equity UCITS ETF EUR Hedged Acc,76,1.19,WTIF
iShares STOXX Global Select Dividend 100 UCITS ETF (DE),"4,060",1.18,ISPA
HANetf The Royal Mint Responsibly Sourced Physical Gold ETC,"1,526",1.18,RM8U
WisdomTree Gold,112,1.18,OD7H
Vanguard FTSE All-World High Dividend Yield UCITS ETF Distributing,"7,366",1.18,VGWD
Xtrackers MSCI World Value UCITS ETF 1C,"3,510",1.16,XDEV
Amundi MSCI Europe Value Factor UCITS ETF EUR,303,1.16,10A2
Xtrackers MSCI Europe Financials Screened UCITS ETF 1C,141,1.16,XS7R
iShares Edge MSCI World Value Factor UCITS ETF,"5,011",1.16,IS3S
First Trust Global Equity Income UCITS ETF Acc,26,1.16,FTG4
EUWAX Gold II,"4,307",1.13,EWG2
SPDR MSCI Europe Value UCITS ETF,75,1.13,ZPRW
Amundi MSCI Europe High Dividend Factor UCITS ETF EUR (C),364,1.12,EHF1
Invesco FTSE RAFI All World 3000 UCITS ETF,165,1.12,PSWD
Xtrackers MSCI Europe Value UCITS ETF 1C,189,1.12,D5BL
Xtrackers FTSE MIB UCITS ETF 1D,73,1.12,DBXI
iShares FTSE MIB UCITS ETF (Acc),333,1.12,SXRY
iShares Edge MSCI World Value Factor UCITS ETF USD (Dist),238,1.11,QDV3
iShares Edge MSCI Europe Value Factor UCITS ETF,"2,378",1.11,CEMS
iShares FTSE MIB UCITS ETF EUR (Dist),155,1.11,2B7V
SPDR Bloomberg 0-3 Year Euro Corporate Bond UCITS ETF,716,1.11,SYBD
Invesco FTSE RAFI Europe UCITS ETF Dist,27,1.11,6PSC
iShares Edge MSCI Europe Value Factor UCITS ETF EUR (Dist),67,1.1,IS0T
Invesco EURO STOXX High Dividend Low Volatility UCITS ETF,331,1.1,EHDV
iShares MSCI Japan CHF Hedged UCITS ETF (Acc),247,1.09,36BH
iShares MSCI World Quality Dividend Advanced UCITS ETF USD (Acc),254,1.08,AYEG
Amundi MSCI World Financials UCITS ETF EUR Acc,138,1.08,LYPD
iShares MSCI UK UCITS ETF (Acc),128,1.07,SXR3
SPDR MSCI World Value UCITS ETF USD Unhedged (Acc),115,1.07,SPF4
Amundi Italy MIB ESG UCITS ETF,153,1.06,X13H
Amundi FTSE MIB UCITS ETF Dist,637,1.06,LYMK
WisdomTree Precious Metals,106,1.06,OD73
Amundi JPX Nikkei 400 UCITS ETF Daily Hedged USD,71,1.06,A4HU
Amundi Core FTSE 100 Swap UCITS ETF USD Hedged Acc,3,1.05,6RQ0
HANetf Alerian Midstream Energy Dividend UCITS ETF Dist,53,1.05,JMLP
Janus Henderson HMT Global IG Credit Curve Steepener Core UCITS ETF EUR Acc.,52,1.04,TCRS
Amundi Japan Topix UCITS ETF Daily Hedged USD,33,1.04,10A1
Invesco Morningstar US Energy Infrastructure MLP UCITS ETF Acc,58,1.04,SMLP
WisdomTree Europe Equity Income UCITS ETF,122,1.04,WTEE
WisdomTree Gold - EUR Daily Hedged,29,1.03,00XN
Invesco Morningstar US Energy Infrastructure MLP UCITS ETF Dist,237,1.03,SMLD
PIMCO Advantage Euro Short-Term High Yield Corporate Bond UCITS ETF (Dist),145,1.03,EUHI
Vanguard FTSE 100 UCITS ETF (GBP) Distributing,"4,974",1.03,VUKE
UBS Solactive Global Pure Gold Miners UCITS ETF USD dis,683,1.03,UBUD
Amundi Multi-Asset Portfolio Defensive UCITS ETF Dist,64,1.02,F702
Xtrackers Euro Stoxx Quality Dividend UCITS ETF 1D,498,1.02,DXSA
iShares Core FTSE 100 UCITS ETF GBP (Acc),"3,391",1.02,SXRW
Xtrackers MSCI World Financials UCITS ETF 1C,"2,549",1.02,XDWF
L&G UK Equity UCITS ETF GBP Acc,186,1.02,XML4
iShares Core FTSE 100 UCITS ETF GBP (Dist),"16,793",1.02,IUSZ
Xtrackers FTSE 100 UCITS ETF 1C,98,1.02,XDUK
PIMCO Advantage Euro Short-Term High Yield Corporate Bond UCITS ETF Acc,348,1.02,EUHA
Invesco Quantitative Strategies ESG Global Equity Multi-Factor UCITS ETF Acc,"1,276",1.02,IQSA
Xtrackers MSCI Japan UCITS ETF 2D USD hedged,175,1.01,XMUJ
Vanguard FTSE 100 UCITS ETF (GBP) Accumulating,"2,771",1.01,VUKG
Xtrackers FTSE 100 UCITS ETF Income 1D,96,1.01,XUKX
Xtrackers ATX UCITS ETF 1C,111,1.01,XB4A
Amundi MSCI EMU Value Factor UCITS ETF Dist,233,1.01,LGWS
iShares UK Dividend UCITS ETF,"1,367",1.01,IQQD
Amundi Core FTSE 100 Swap UCITS ETF Dist,60,1.01,D100
Xtrackers S&P Global Infrastructure Swap UCITS ETF 1C,438,1.01,DX2E
Amundi Core FTSE 100 Swap UCITS ETF Acc,897,1.01,B8TT
HSBC FTSE 100 UCITS ETF GBP,869,1.01,H4ZB
Xtrackers MSCI World Industrials UCITS ETF 1C,662,1.01,XDWI
UBS FTSE 100 UCITS ETF GBP dis,93,1,UIM3
SPDR MSCI World Financials UCITS ETF,298,1,SS43
iShares STOXX Europe 600 Insurance UCITS ETF (DE),406,1,EXH5
iShares MSCI Japan USD Hedged UCITS ETF (Acc),425,1,IS30
iShares STOXX Europe 50 UCITS ETF (DE),143,1,EXW3
iShares EUR Corporate Bond 0-3yr ESG SRI UCITS ETF EUR (Dist),"2,369",1,QDVL
Deka STOXX Europe 50® UCITS ETF,161,0.99,EL4Y
VanEck World Equal Weight Screened UCITS ETF A,"1,240",0.99,TSWE
iShares STOXX Europe Select Dividend 30 UCITS ETF (DE),840,0.99,EXSH
iShares ATX UCITS ETF (DE),146,0.99,EXXX
Deka Oekom Euro Nachhaltigkeit UCITS ETF,539,0.99,ELFB
Amundi STOXX Europe 600 Insurance UCITS ETF Dist,31,0.99,EGV1
Amundi STOXX Europe 600 Insurance UCITS ETF Acc,129,0.99,LIRU
WisdomTree Japan Equity UCITS ETF USD Hedged,91,0.99,WTDX
UBS Euro Equity Defensive Put Write SF UCITS ETF EUR acc,149,0.99,UIQ4
Amundi JPX Nikkei 400 UCITS ETF Daily Hedged GBP,8,0.99,18MQ
Invesco JPX-Nikkei 400 EUR Hedged UCITS ETF,11,0.99,NS4E
Amundi Stoxx Europe 50 UCITS ETF Acc,539,0.99,AE50
Amundi JPX Nikkei 400 UCITS ETF Daily Hedged EUR (C),68,0.99,JP4H
SPDR MSCI World Industrials UCITS ETF,141,0.98,SS44
Invesco European Insurance Sector UCITS ETF Acc,58,0.98,SC0Y
Amundi Japan Topix UCITS ETF Daily Hedged EUR (C),294,0.98,TTPX
iShares Core FTSE 100 UCITS ETF USD Hedged (Acc),170,0.98,2B7I
Xtrackers MSCI Japan Screened UCITS ETF 4C - USD Hedged,5,0.98,XDNU
Xtrackers MSCI World Energy UCITS ETF 1C,"1,224",0.98,XDW0
Amundi Stoxx Europe Select Dividend 30 UCITS ETF Dist,385,0.98,SELD
L&G Gold Mining UCITS ETF,845,0.97,ETLX
SPDR MSCI Japan EUR Hedged UCITS ETF,39,0.97,ZPDW
SPDR MSCI World Energy UCITS ETF,402,0.97,SS42
UBS MSCI Canada UCITS ETF CAD dis,771,0.97,UIM9
Franklin Global Quality Dividend UCITS ETF (Dist),97,0.97,FLXX
Xtrackers MSCI Europe UCITS ETF 2C USD hedged,250,0.97,XEOU
Expat Greece ASE UCITS ETF,0,0.97,GRX
iShares MSCI World Energy Sector UCITS ETF USD (Dist),777,0.97,5MVW
Expat Bulgaria SOFIX UCITS ETF,4,0.97,BGX
UBS EURO STOXX 50 ESG UCITS ETF EUR dis,"3,390",0.96,UET5
Amundi MSCI Semiconductors UCITS ETF Dist,75,0.96,LYSM
iShares Core MSCI EMU UCITS ETF USD Hedged (Acc),605,0.96,SNAY
BNP Paribas Easy MSCI Japan Min TE UCITS ETF EUR Hedged,150,0.95,EJAH
UBS Core MSCI Japan UCITS ETF hEUR acc,172,0.95,UFMA
Xtrackers MSCI EMU UCITS ETF 3C CHF hedged,84,0.95,XDUE
iShares MSCI Japan EUR Hedged UCITS ETF (Acc),"1,081",0.95,IBCG
iShares Gold Producers UCITS ETF,"4,549",0.95,IS0E
Amundi STOXX Europe 600 Energy ESG Screened UCITS ETF Acc,147,0.95,LOGS
iShares Core MSCI Japan IMI UCITS ETF EUR Hedged (Acc),85,0.95,AYEI
Amundi STOXX Europe 600 Energy ESG Screened UCITS ETF Dist,44,0.95,OIGS
iShares STOXX Europe Large 200 UCITS ETF (DE),128,0.95,EXSC
Xtrackers MSCI EMU UCITS ETF 1C - USD Hedged,297,0.94,XD5D
JPMorgan Global Equity Multi-Factor UCITS ETF Accumulating,206,0.94,JPGL
Amundi Core FTSE 100 Swap UCITS ETF EUR Hedged Acc,56,0.94,LMVC
Vanguard FTSE Japan UCITS ETF EUR Hedged Accumulating,81,0.94,VJPE
iShares Dow Jones Asia Pacific Select Dividend 50 UCITS ETF (DE),459,0.93,EXXW
iShares MSCI EMU CHF Hedged UCITS ETF (Acc),159,0.93,SXR9
iShares Refinitiv Inclusion and Diversity UCITS ETF USD (Acc),40,0.93,OPEN
iShares STOXX Europe 50 UCITS ETF,610,0.93,EUN1
BNP Paribas Easy Dividend Europe UCITS ETF,43,0.93,EDEU
Xtrackers MSCI Japan UCITS ETF 4C - EUR Hedged,860,0.93,XMK9
iShares STOXX Europe Equity Multifactor UCITS ETF EUR (Acc),588,0.93,IBC0
iShares MSCI EMU USD Hedged UCITS ETF (Acc),225,0.93,CEBP
iShares STOXX Europe Equity Multifactor UCITS ETF EUR (Dist),181,0.92,IS0V
Amundi Japan TOPIX II UCITS ETF EUR Hedged Dist,0,0.92,JPNH
Amundi UK Equity All Cap UCITS ETF Dist,778,0.92,LCUK
SPDR S&P U.S. Energy Select Sector UCITS ETF USD,666,0.92,ZPDE
Invesco S&P 500 QVM UCITS ETF,55,0.92,QVMP
Deka Euro iSTOXX ex Fin Dividend Plus UCITS ETF,396,0.92,ELFC
Xtrackers MSCI USA Energy UCITS ETF 1D,80,0.92,XUEN
SPDR FTSE UK All Share UCITS ETF,139,0.92,ZPRD
WisdomTree Precious Metals - EUR Daily Hedged,6,0.92,00XQ
VanEck Gold Miners UCITS ETF,"3,834",0.91,G2X
SPDR FTSE UK All Share UCITS ETF,449,0.91,SPYF
iShares S&P 500 Energy Sector UCITS ETF (Acc),973,0.91,QDVF
UBS MSCI EMU Value UCITS ETF EUR dis,292,0.91,UIME
Amundi EURO STOXX 50 II UCITS ETF USD Hedged Acc,103,0.91,LYQ4
Xtrackers MSCI Canada Screened UCITS ETF 1C,"1,088",0.91,D5BH
Amundi MSCI Semiconductors UCITS ETF Acc,"1,146",0.9,LSMC
Amundi Core MSCI Japan UCITS ETF EUR Hedged Dist,184,0.89,JNHD
Xtrackers MSCI Japan Screened UCITS ETF 3C - EUR Hedged,71,0.89,XDNE
SPDR S&P U.S. Industrials Select Sector UCITS ETF USD,433,0.89,ZPDI
iShares S&P 500 Industrials Sector UCITS ETF,551,0.89,2B7C
Amundi DJ Global Titans 50 UCITS ETF Dist,540,0.89,L8IF
Fidelity Global Quality Income UCITS ETF INC-USD,703,0.88,FGEQ
VanEck European Equal Weight Screened UCITS ETF A,82,0.88,V3ET
iShares Dow Jones Global Leaders Screened UCITS ETF USD (Acc),"1,617",0.88,IUSL
JPMorgan Europe Research Enhanced Index Equity (ESG) UCITS ETF EUR (acc),"2,890",0.88,JREE
Amundi MSCI World Swap II UCITS ETF Dist,"7,839",0.88,LYYA
Invesco Quantitative Strategies ESG Global Equity Multi-Factor UCITS ETF EUR PfHdg Acc,349,0.88,IQSE
SPDR MSCI All Country World UCITS ETF USD Hedged (Acc),66,0.88,SPP2
Invesco US Industrials Sector UCITS ETF,119,0.88,SML6
iShares Dow Jones Global Titans 50 UCITS ETF (DE) EUR (Dist),"2,568",0.88,EXI2
iShares MSCI Canada UCITS ETF (Acc),"1,478",0.88,SXR2
JPMorgan Global Research Enhanced Index Equity (ESG) UCITS ETF USD (acc),"4,993",0.87,JREG
iShares Core MSCI Europe UCITS ETF EUR (Acc),"14,913",0.87,EUNK
HSBC MSCI Canada UCITS ETF USD,220,0.87,H4ZR
iShares MSCI World Quality Dividend Advanced UCITS ETF USD (Dist),"1,198",0.87,QDVW
Xtrackers MSCI Japan Screened UCITS ETF 2D - GBP Hedged,29,0.87,XDNG
VanEck Multi-Asset Growth Allocation UCITS ETF,32,0.87,2TCD
UBS S&P Dividend Aristocrats ESG Elite UCITS ETF USD dis,125,0.87,UBUM
SPDR MSCI Europe Industrials UCITS ETF,"1,287",0.87,SPYQ
Amundi Prime Europe UCITS ETF DR (C),175,0.87,PRAE
iShares STOXX Europe 600 Oil & Gas UCITS ETF (DE),530,0.87,EXH1
Vanguard FTSE Developed Europe UCITS ETF Distributing,"4,483",0.87,VGEU
Vanguard FTSE Developed Europe UCITS ETF (EUR) Accumulating,"2,282",0.87,VWCG
First Trust Indxx NextG UCITS ETF Acc,7,0.87,FTG5
BNP Paribas Easy Low Volatility Europe UCITS ETF,59,0.87,VLEU
BNP Paribas Easy Low Volatility Europe UCITS ETF,6,0.87,VLED
Invesco European Oil & Gas Sector UCITS ETF,12,0.87,SC0V
Amundi Core MSCI Europe UCITS ETF Dist,566,0.87,10AI
Xtrackers MSCI USA Industrials UCITS ETF 1D,305,0.87,XUIN
HSBC MSCI Europe UCITS ETF EUR,336,0.87,H4ZE
iShares Asia Pacific Dividend UCITS ETF,600,0.86,IQQX
iShares MSCI Europe Quality Dividend Advanced UCITS ETF EUR (Dist),871,0.86,QDVX
Invesco MSCI Europe UCITS ETF,64,0.86,SC0E
SPDR MSCI Europe UCITS ETF,388,0.86,SPYE
Amundi Prime Europe UCITS ETF DR (D),215,0.86,PR1E
Deka MSCI Europe UCITS ETF,"1,397",0.86,EL42
Deka MSCI World UCITS ETF Distribution,"4,504",0.86,ELFW
BNP Paribas Easy ECPI Circular Economy Leaders UCITS ETF EUR,401,0.86,EMEC
WisdomTree Emerging Markets Equity Income UCITS ETF,147,0.86,WTEI
Amundi MSCI World Financials UCITS ETF USD Acc,669,0.86,1DR0
Invesco Global Buyback Achievers UCITS ETF,135,0.86,BBCK
WisdomTree Emerging Markets Equity Income UCITS ETF Acc,48,0.86,WTD8
Amundi MSCI World Swap UCITS ETF EUR Acc,"5,561",0.86,AMEW
IndexIQ Factors Sustainable Europe Equity UCITS ETF,150,0.86,DX1F
Ossiam Bloomberg Japan PAB NR UCITS ETF H1C (EUR Hedged),1,0.86,OP5H
Xtrackers MSCI Mexico UCITS ETF 1C,456,0.85,D5BI
Amundi Core MSCI Europe UCITS ETF Acc,"4,022",0.85,A4HZ
iShares Edge MSCI EM Value Factor UCITS ETF USD (Acc),"1,111",0.85,5MVL
Amundi MSCI All Country World UCITS ETF EUR Acc,"1,999",0.85,LYY0
Invesco FTSE RAFI US 1000 UCITS ETF,607,0.85,6PSA
Amundi MSCI Eastern Europe Ex Russia UCITS ETF Acc,445,0.85,LEER
Vanguard FTSE Developed World UCITS ETF Acc,"4,970",0.85,VGVF
UBS Core MSCI Europe UCITS ETF hEUR acc,129,0.85,UIMF
iShares MSCI Mexico Capped UCITS ETF (Acc),109,0.85,CEBG
Xtrackers IE Physical Silver ETC Securities,322,0.85,XSLR
Amundi MSCI Eastern Europe Ex Russia UCITS ETF Dist,18,0.85,ESTE
iShares STOXX Europe 600 UCITS ETF (DE),"9,054",0.85,EXSA
