symbol,name,price,weeks,gmean,std,sharpe,range,revenue,T200
MAGS,Roundhill Magnificent Seven ETF,68.38500213623047,156,0.331954009658475,0.17045959862687374,1.7127460818298978,0.10551808223173471,,0.22358346094946402
FNGS,MicroSectors FANG+ ETN,80.2699966430664,156,0.30643361281821835,0.14902772366184444,1.7878124034342568,0.10681689081641783,,0.5454545454545454
IGM,iShares Expanded Tech Sector ETF,159.06500244140625,156,0.31298528287628,0.14446621514300953,1.8896133092851317,0.09932442693079384,,0.5549242424242424
SPYG,State Street SPDR Portfolio S&P 500 Growth ETF,119.86009979248047,156,0.2587966738427425,0.09623256107290318,2.2736241393075685,0.0778215901519637,,0.45075757575757575
SPMO,Invesco S&P 500 Momentum ETF,145.72000122070312,156,0.336754796025563,0.1321853021727627,2.244990866213797,0.08772765573472042,,0.5321969696969697
IWMO.MI,iShares Edge MSCI World Momentum Factor UCITS ETF USD (Acc),98.05000305175781,156,0.19475961196160574,0.13877114243344885,1.1152146566482621,0.07661595577272089,,0.6333021515434986
TSLA,"Tesla, Inc.",356.6300048828125,156,0.39650511635328134,0.30630271328489683,1.1638980031551027,0.23020368099212596,0.2552,0.3087121212121212
NVDA,NVIDIA Corporation,218.9600067138672,156,0.6076899307163226,0.609536519634186,0.9313468716476944,0.19055506602786038,0.8523,0.3399621212121212
AVGO,Broadcom Inc.,370.1449890136719,156,0.7379960999673587,0.3109678979040775,2.244592141735047,0.19851045754772262,0.4787,0.1534090909090909
SMH,VanEck Semiconductor ETF,545.77001953125,156,0.4845664534561809,0.42964714466960413,1.0347245617052794,0.14914104032136136,,0.4753787878787879
USD,ProShares Ultra Semiconductors,82.32150268554688,156,0.8544690056525313,0.9181236563047165,0.8871016448161496,0.31984188434116123,,0.35132575757575757
TDIV.AS,VanEck Morningstar Developed Markets Dividend Leaders UCITS ETF,55.7599983215332,156,0.2150766057579161,0.06064896786182945,2.8867202844535758,0.04927484121430625,,0.8037037037037037
ESIF.DE,iShares MSCI Europe Financials Sector UCITS ETF,17.275999069213867,156,0.33435382547655235,0.07173441565424135,4.103383610111676,0.07062794946388348,,0.7962790697674419
DFEN.DE,VanEck Defense ETF A USD Acc,52.97999954223633,156,0.4573315624369676,0.19354233346811267,2.156280514752219,0.09842166372722576,,0.046546546546546545
EXI,iShares Global Industrials ETF,194.2449951171875,156,0.21776477442991915,0.08469114824258006,2.098977025565283,0.06397658708453531,,0.1856060606060606
4GLD.DE,Xetra-Gold,121.05999755859375,156,0.37126327559214034,0.0880417142123892,3.7625718508048442,0.07590951289745144,,0.046598322460391424
