symbol,weeks,CAGR,median change,gmean change,std,gmean/std
GC=F,104,0.36961393365980055,0.3891506766994761,0.3782438617480788,0.04995245892711524,7.572076928184212
ESIF.DE,104,0.3603617670548225,0.34641767695514425,0.34416525708247314,0.0589193892061186,5.841290307312497
NFLX,104,0.7762759972116651,0.8354274575442621,0.7924477213062262,0.15024898381475368,5.274230155747728
BKNG,104,0.3941592214635099,0.44197410812376803,0.44074337903897276,0.11186116404103856,3.9400929072870814
RSG,104,0.27268236510820354,0.28446875475020506,0.277426543111835,0.078670110966449,3.526454198471273
EHF1.DE,104,0.15204218342539977,0.13284252455888212,0.1421801040926478,0.04076033411478972,3.488197709376929
QTUM,104,0.46042315599282335,0.4227926884536022,0.42926285006635867,0.1295143370593502,3.314404102378628
PPA,104,0.36338060128459215,0.31998453544736605,0.30462102166521454,0.0949368651847038,3.2086694781059086
PLTR,104,2.4614292689834376,3.818417499148131,3.3714632065046883,1.0705544814603425,3.149268220245716
AVGO,104,0.9556087044663346,0.8264112241475363,0.7848128389742823,0.2754683926282872,2.8490123004176984
FNGS,104,0.4453260918063444,0.39033063220698605,0.3807632269084751,0.13974466746378994,2.724706665512921
UFO,104,0.4706190012131821,0.47425965826068817,0.5080903706410871,0.20961019950084978,2.4239773248201466
BRK-B,104,0.20138548722882144,0.23145175795597883,0.21741353001218422,0.09041728448367516,2.4045571734842164
SPMO,104,0.4543046589537345,0.3508114231713161,0.36146855942331824,0.1510248088413687,2.3934382847191182
TSLA,104,0.24452600321481244,0.6158483982216312,0.5682124933734447,0.27024980500567525,2.1025454333316254
BTC-USD,104,0.9036532095337599,0.9190634961140267,0.8298077733093563,0.3959709413430744,2.095627953139117
MAGS,104,0.4422841728843836,0.364267616628824,0.39214243294372286,0.18835506129257132,2.0819320184585286
QQQ,104,0.26625228353452135,0.2234504293054832,0.20952063217533,0.1015407071946502,2.0634151362929334
AJG,104,0.15949935583612973,0.254570662702145,0.2386171395217227,0.11614308021435489,2.0545101703978266
META,104,0.5971346157332116,0.45822020925737705,0.4738923827646766,0.23416187310039271,2.023781141183064
SHOP,104,0.5153313991194515,0.5610651388432377,0.5684503344879259,0.28340912062336443,2.0057587886995565
SPY,104,0.24172746013946456,0.18186148530036372,0.19758370141710246,0.0987634392936916,2.0005753427596855
AMZN,104,0.30649725530010263,0.2735997916995384,0.2567004981817469,0.1670345120767181,1.536811135556499
NOW,104,0.24089664192918936,0.30156197316480826,0.30436049192785286,0.21799841148889162,1.3961592190012904
NET,104,0.8200425149159678,0.5523905283123558,0.7400274312087398,0.5456651442910089,1.356193333862783
ISRG,104,0.30595399398676393,0.372301886588413,0.35543758131212244,0.2890242274703128,1.229784729201054
AAPL,104,0.1257073978257306,0.19570605441731115,0.1561299093361137,0.14073386742796748,1.1093982719975095
NVDA,104,1.1061931568706846,0.5210666916136331,0.7611852773298708,0.7334064060205662,1.0378765048699694
GOOG,104,0.28632605614336737,0.23417919665502807,0.1868648506232471,0.18418511913350316,1.014549120484601
MSFT,104,0.23190533881267705,0.11817982610949984,0.10824589936267204,0.11613677437394467,0.9320553282643698
SMH,104,0.43245218579799993,0.20543644886153856,0.22888409773766605,0.2546371355443144,0.8988637782482181
USD,104,1.1578252945528664,0.5169290954569263,0.5567489333049354,0.9099386834975052,0.611853241764572
CRM,104,0.06156683014313802,0.06488280041778871,0.10732435561002651,0.19721465162097185,0.544200721031082
SNOW,104,0.140075840133836,-0.01768902606058681,0.12143605655035694,0.428862247570663,0.28315865347963065
WDAY,104,-0.024221321194821233,-0.026662108721874467,-0.01584353612591438,0.10485650296269086,-0.15109731564814527
