"Date","Open","High","Low","Close"
"2023-03-19T22:00:00.000Z","24.43","26.96","23.89","25.82"
"2023-03-26T21:00:00.000Z","25.99","28.32","24.29","28.26"
"2023-04-02T21:00:00.000Z","27.68","28.43","26.11","27.43"
"2023-04-09T21:00:00.000Z","26.64","27.93","26.00","27.47"
"2023-04-16T21:00:00.000Z","27.35","28.18","26.25","26.87"
"2023-04-23T21:00:00.000Z","26.81","28.28","25.17","28.25"
"2023-04-30T21:00:00.000Z","28.14","28.53","26.28","28.21"
"2023-05-07T21:00:00.000Z","28.10","29.30","27.81","28.73"
"2023-05-14T21:00:00.000Z","28.85","32.24","28.43","31.74"
"2023-05-21T21:00:00.000Z","31.68","35.25","29.77","34.98"
"2023-05-28T21:00:00.000Z","36.31","37.19","34.40","36.82"
"2023-06-04T21:00:00.000Z","36.76","37.70","34.77","36.62"
"2023-06-11T21:00:00.000Z","37.15","42.44","36.84","40.80"
"2023-06-18T21:00:00.000Z","40.29","41.08","38.24","38.95"
"2023-06-25T21:00:00.000Z","38.76","41.35","37.34","41.00"
"2023-07-02T21:00:00.000Z","41.20","41.84","39.29","39.87"
"2023-07-09T21:00:00.000Z","39.76","45.36","38.93","44.02"
"2023-07-16T21:00:00.000Z","44.28","47.14","42.51","42.69"
"2023-07-23T21:00:00.000Z","42.98","45.69","42.20","45.22"
"2023-07-30T21:00:00.000Z","45.33","45.71","40.97","41.14"
"2023-08-06T21:00:00.000Z","41.73","42.20","38.60","39.09"
"2023-08-13T21:00:00.000Z","38.83","40.44","35.37","36.40"
"2023-08-20T21:00:00.000Z","36.87","40.91","36.35","38.04"
"2023-08-27T21:00:00.000Z","38.95","43.36","38.08","42.29"
"2023-09-03T21:00:00.000Z","41.97","42.82","39.38","40.50"
"2023-09-10T21:00:00.000Z","41.49","42.24","39.43","39.75"
"2023-09-17T21:00:00.000Z","39.43","40.22","35.52","35.63"
"2023-09-24T21:00:00.000Z","35.31","37.00","33.63","35.62"
"2023-10-01T21:00:00.000Z","35.67","37.69","34.04","37.35"
"2023-10-08T21:00:00.000Z","36.61","40.05","36.14","37.41"
"2023-10-15T21:00:00.000Z","37.82","39.00","34.02","34.09"
"2023-10-22T21:00:00.000Z","33.67","35.59","30.47","31.30"
"2023-10-29T22:00:00.000Z","31.95","37.98","31.58","37.58"
"2023-11-05T22:00:00.000Z","37.81","40.83","37.32","40.77"
"2023-11-12T22:00:00.000Z","40.25","43.78","39.75","43.16"
"2023-11-19T22:00:00.000Z","43.15","45.42","43.14","44.18"
"2023-11-26T22:00:00.000Z","44.01","45.73","42.84","44.24"
"2023-12-03T22:00:00.000Z","42.91","45.00","41.73","44.83"
"2023-12-10T22:00:00.000Z","44.67","49.79","44.60","49.24"
"2023-12-17T22:00:00.000Z","49.49","51.27","48.46","50.35"
"2023-12-24T22:00:00.000Z","50.64","52.01","50.00","50.70"
"2023-12-31T22:00:00.000Z","49.35","49.43","45.47","45.98"
"2024-01-07T22:00:00.000Z","46.39","50.98","46.33","50.34"
"2024-01-14T22:00:00.000Z","49.88","54.62","47.87","54.54"
"2024-01-21T22:00:00.000Z","55.41","57.90","54.28","55.44"
"2024-01-28T22:00:00.000Z","55.61","57.68","52.58","57.24"
"2024-02-04T22:00:00.000Z","57.19","60.61","55.57","60.27"
"2024-02-11T22:00:00.000Z","60.21","61.14","55.44","57.41"
"2024-02-18T22:00:00.000Z","56.58","61.22","53.82","59.62"
"2024-02-25T22:00:00.000Z","59.94","63.51","58.55","63.13"
"2024-03-03T22:00:00.000Z","63.09","64.13","58.02","60.06"
"2024-03-10T22:00:00.000Z","59.41","62.04","57.29","57.76"
"2024-03-17T22:00:00.000Z","59.88","63.95","57.68","62.63"
"2024-03-24T22:00:00.000Z","61.48","63.01","60.71","61.56"
"2024-03-31T21:00:00.000Z","61.92","62.99","57.74","59.86"
"2024-04-07T21:00:00.000Z","60.21","62.06","58.06","58.72"
"2024-04-14T21:00:00.000Z","60.20","60.23","48.85","49.48"
"2024-04-21T21:00:00.000Z","50.38","55.87","49.17","55.28"
"2024-04-28T21:00:00.000Z","56.08","57.11","51.20","56.70"
"2024-05-05T21:00:00.000Z","57.42","60.07","57.12","59.17"
"2024-05-12T21:00:00.000Z","59.92","64.20","58.98","62.94"
"2024-05-19T21:00:00.000Z","63.02","66.51","62.80","65.35"
"2024-05-26T21:00:00.000Z","65.86","66.10","58.96","62.53"
"2024-06-02T21:00:00.000Z","63.73","68.33","60.96","67.12"
"2024-06-09T21:00:00.000Z","66.59","74.21","66.48","74.17"
"2024-06-16T21:00:00.000Z","74.28","77.72","73.67","74.40"
"2024-06-23T21:00:00.000Z","73.82","77.53","71.80","73.82"
"2024-06-30T21:00:00.000Z","74.16","81.85","72.42","81.63"
"2024-07-07T21:00:00.000Z","81.81","85.20","78.70","80.64"
"2024-07-14T21:00:00.000Z","81.47","83.62","70.44","71.06"
"2024-07-21T21:00:00.000Z","73.65","75.13","62.13","65.08"
"2024-07-28T21:00:00.000Z","66.27","70.22","57.00","58.74"
"2024-08-04T21:00:00.000Z","49.33","59.53","48.80","58.85"
"2024-08-11T21:00:00.000Z","59.23","69.26","58.11","68.64"
"2024-08-18T21:00:00.000Z","68.68","73.16","67.89","70.53"
"2024-08-25T21:00:00.000Z","70.27","70.67","65.16","68.61"
"2024-09-01T21:00:00.000Z","66.35","67.32","56.72","56.99"
"2024-09-08T21:00:00.000Z","58.57","67.87","57.34","67.35"
"2024-09-15T21:00:00.000Z","66.42","71.80","65.03","70.13"
"2024-09-22T21:00:00.000Z","70.62","75.07","69.38","71.93"
"2024-09-29T21:00:00.000Z","71.46","72.62","67.70","71.97"
"2024-10-06T21:00:00.000Z","71.05","74.95","69.06","74.30"
"2024-10-13T21:00:00.000Z","75.44","76.82","71.67","74.64"
"2024-10-20T21:00:00.000Z","74.06","77.00","70.28","74.74"
"2024-10-27T22:00:00.000Z","76.19","77.46","69.43","70.93"
"2024-11-03T22:00:00.000Z","70.64","83.11","69.51","82.75"
"2024-11-10T22:00:00.000Z","83.33","83.43","73.29","74.27"
"2024-11-17T22:00:00.000Z","74.93","78.88","74.11","78.25"
"2024-11-24T22:00:00.000Z","80.16","80.87","76.33","79.89"
"2024-12-01T22:00:00.000Z","80.48","87.87","80.29","87.74"
"2024-12-08T22:00:00.000Z","87.25","90.77","84.05","89.40"
"2024-12-15T22:00:00.000Z","90.72","93.79","78.50","83.03"
"2024-12-22T22:00:00.000Z","83.45","89.08","81.83","84.66"
"2024-12-29T22:00:00.000Z","81.20","83.06","76.53","82.40"
"2025-01-05T22:00:00.000Z","84.97","86.85","75.23","76.83"
"2025-01-12T22:00:00.000Z","74.05","83.94","73.34","83.14"
"2025-01-19T22:00:00.000Z","84.45","88.91","82.33","86.75"
"2025-01-26T22:00:00.000Z","77.58","87.09","77.18","82.72"
"2025-02-02T22:00:00.000Z","78.53","87.19","77.34","82.73"
"2025-02-09T22:00:00.000Z","84.73","90.18","82.10","89.83"

"2025-02-16T22:00:00.000Z","89.83","92.08","85.86","86.82"
