"Date","Open","High","Low","Close"
"2022-06-12T21:00:00.000Z","24.27","25.92","21.32","22.67"
"2022-06-19T21:00:00.000Z","23.82","28.04","23.55","27.98"
"2022-06-26T21:00:00.000Z","28.35","28.50","22.75","24.39"
"2022-07-03T21:00:00.000Z","23.41","28.31","23.00","27.89"
"2022-07-10T21:00:00.000Z","27.20","27.27","23.62","26.79"
"2022-07-17T21:00:00.000Z","27.61","31.53","25.82","29.53"
"2022-07-24T21:00:00.000Z","29.53","33.65","27.05","33.36"
"2022-07-31T21:00:00.000Z","32.78","36.27","32.21","35.29"
"2022-08-07T21:00:00.000Z","35.60","38.05","33.19","37.98"
"2022-08-14T21:00:00.000Z","37.65","39.38","35.07","35.35"
"2022-08-21T21:00:00.000Z","33.89","34.74","30.20","30.24"
"2022-08-28T21:00:00.000Z","29.35","30.12","26.02","26.68"
"2022-09-04T21:00:00.000Z","26.76","30.02","25.46","29.84"
"2022-09-11T21:00:00.000Z","30.30","31.03","23.67","24.60"
"2022-09-18T21:00:00.000Z","23.94","25.92","20.45","21.31"
"2022-09-25T21:00:00.000Z","21.16","22.59","19.28","19.32"
"2022-10-02T21:00:00.000Z","19.70","23.06","19.16","19.50"
"2022-10-09T21:00:00.000Z","19.52","19.98","16.32","17.57"
"2022-10-16T21:00:00.000Z","18.81","21.00","18.73","20.57"
"2022-10-23T21:00:00.000Z","20.63","22.64","19.71","21.70"
"2022-10-30T22:00:00.000Z","21.18","21.87","16.85","17.95"
"2022-11-06T22:00:00.000Z","18.16","22.83","17.53","22.67"
"2022-11-13T22:00:00.000Z","22.17","23.95","20.91","21.84"
"2022-11-20T22:00:00.000Z","21.52","22.87","20.83","22.26"
"2022-11-27T22:00:00.000Z","21.80","24.17","20.47","23.41"
"2022-12-04T22:00:00.000Z","22.88","23.20","20.18","20.89"
"2022-12-11T22:00:00.000Z","20.91","24.23","18.71","19.06"
"2022-12-18T22:00:00.000Z","19.10","19.25","16.58","17.59"
"2022-12-25T22:00:00.000Z","17.46","17.50","16.10","17.30"
"2023-01-01T22:00:00.000Z","17.74","18.04","16.10","17.64"
"2023-01-08T22:00:00.000Z","18.08","20.17","17.70","20.10"
"2023-01-15T22:00:00.000Z","20.06","20.91","18.58","20.39"
"2023-01-22T22:00:00.000Z","20.55","23.82","19.98","23.33"
"2023-01-29T22:00:00.000Z","22.55","27.45","21.85","25.52"
"2023-02-05T22:00:00.000Z","24.85","26.69","23.22","23.82"
"2023-02-12T22:00:00.000Z","24.14","26.10","23.30","24.04"
"2023-02-19T22:00:00.000Z","23.10","23.45","21.35","21.77"
"2023-02-26T22:00:00.000Z","22.48","23.53","20.95","23.46"
"2023-03-05T22:00:00.000Z","23.76","24.48","20.62","20.88"
"2023-03-12T22:00:00.000Z","20.47","25.51","20.13","24.57"
