symbol,weeks,CAGR,median change,gmean change,std,gmean/std
ESIF.DE,104,0.07997475664979858,0.08243195068275555,0.08093815365771095,0.04724872158280905,1.7130231453110776
GC=F,104,0.0818063875225905,0.07541260550643081,0.08266688914665798,0.05673682935859684,1.4570234199055077
NFLX,104,0.1544566023184144,0.1267811649430115,0.15699286143196312,0.13058630862091453,1.2022153247910965
PPA,104,0.08057341268903007,0.08981772413961497,0.08166609197761776,0.07152455713010733,1.141790949212903
EHF1.DE,104,0.03601750953498617,0.035307792908278346,0.03647793024435342,0.03220090932016681,1.1328229858871717
PLTR,104,0.3639984142180228,0.3707402641733817,0.3685373205995017,0.34365253394838374,1.0724126383274557
SPMO,104,0.09815551976963599,0.09547807107153594,0.09943896612491065,0.09392503987693995,1.05870560454587
RSG,104,0.06213570050397621,0.06914593594888041,0.06297310349559737,0.07031991485814013,0.8955230338750574
AVGO,104,0.18255266298920758,0.23068395572095324,0.1850258047093607,0.21288056768818903,0.8691530970566189
FNGS,104,0.09645663693375983,0.10996936149359327,0.09779635401614728,0.1171363567733497,0.8348932535555642
SPY,104,0.05561747575119824,0.06263062906548522,0.05636651899264766,0.06769817059294611,0.8326150987382935
QTUM,104,0.09930873182621403,0.10154005292563228,0.10057413375447544,0.12615380103163953,0.7972342722297469
MAGS,104,0.09587926414430736,0.1234866299407471,0.09698655449410842,0.12519019942742898,0.7747136352341237
NVDA,104,0.20468790299213957,0.2282235731193396,0.2073597284813864,0.28468300377212563,0.7283881571214816
META,104,0.1241787731176911,0.11781076530018209,0.12573630505021205,0.17317503206804363,0.7260648578994225
QQQ,104,0.06079157149081982,0.07321109927502656,0.06164185640121378,0.08732334381535695,0.7059035271433715
BKNG,104,0.08662099994373174,0.07074924214386469,0.0881138643415098,0.12996912626361995,0.677959965375054
UFO,104,0.10122241633046913,0.11164984484480756,0.10234978297435426,0.15462712110787558,0.6619135261721
BTC-USD,104,0.1746188306054881,0.1460083565380177,0.17853512600636967,0.2701951568085498,0.6607636055181885
BRK-B,104,0.04693711276696977,0.05163554690428307,0.04746999823566367,0.07191825918945709,0.660054884123538
NET,104,0.1615031266885978,0.16298341756730794,0.1647879174301088,0.2829727224957267,0.5823455913938749
SMH,104,0.0940068306562154,0.12049626361076626,0.09540807997572998,0.17057059416735854,0.5593465886747077
AMZN,104,0.06912165297511597,0.08961124968235246,0.0702376913096261,0.13184821680955042,0.5327162779234375
ISRG,104,0.06901049640371815,0.0907061958487918,0.07007014195407457,0.1389721113565089,0.5042029027991217
MSFT,104,0.053523759255971415,0.04528219244846321,0.054375149265088796,0.11221887324516652,0.48454549304103656
AJG,104,0.0376899913393518,0.04032368345158743,0.03816896364816169,0.08049703279354228,0.4741660943709185
USD,104,0.21200404683188423,0.25953450323822014,0.21596603623958077,0.46588329263245587,0.4635625266132058
GOOG,104,0.06497096314770112,0.07586400790735759,0.06476347122156123,0.1523031519515281,0.42522738624721834
SHOP,104,0.10949897559118726,0.17577205066907053,0.11230331181463815,0.26866561964134633,0.41800403030561495
NOW,104,0.055440857614945216,0.08382441802567842,0.05664530113305122,0.16960590982584933,0.33398188300876064
AAPL,104,0.03004543099221424,0.04201538518128367,0.030245543662567487,0.13117540804450564,0.2305732767555461
TSLA,104,0.056211748165295505,0.08828016467588151,0.05620332751158785,0.33617888756948733,0.16718279936592023
SNOW,104,0.03331666976252845,-0.028293579043861095,0.03437196080182914,0.28004704550664566,0.12273638073790524
CRM,104,0.015048596424239724,-0.012898413907129314,0.016003925807471786,0.1840610593780985,0.08694900410518934
WDAY,104,-0.006111121124769081,-0.01199013833176299,-0.005371795949288938,0.1470549469481925,-0.036529175391708676
