symbol,weeks,change,std,score
SPY,39,0.1218838655821001,0.031623639133946044,3.854201126753474
MAGS,39,0.2121010235320432,0.05553891648061233,3.818962215549955
FNGS,39,0.16203130211658737,0.05460953706763148,2.9670879999572017
MAGX,39,0.3618328242660328,0.12445742173003896,2.9072820185114043
QQQ,39,0.11265048518157496,0.043347132804727496,2.598798995288776
MAG7.L,33,0.7944553545933714,0.3153284675568889,2.5194533203699483
XLKS.MI,39,0.16104863613791945,0.06489170176132583,2.4818063291091135
IGM,39,0.1278265223031954,0.053457835667110605,2.3911653120262666
FNGU,39,0.34224785639477573,0.18612854880889862,1.8387714221431313
TQQQ,39,0.22728407901568184,0.1438237502978031,1.5802958728656766
USD,39,0.32656415401685673,0.2459171552271561,1.327943769173835
SMH,39,0.10180376519765258,0.0795122712235363,1.2803528767458703
