symbol,weeks,change,median,std,ratio
BOXX,114,0.0037815132587329715,0.0038124252297325745,0.0006136395947970679,6.162433602387615
MINT,114,0.004344764412553145,0.004421932137552376,0.0019305437022115878,2.250539269106356
TBIL,114,0.0037741963076325137,0.003820242710331767,0.0016792529728223151,2.2475448123157014
XHLF,114,0.003702734272871668,0.0036214405480549106,0.001745638889122379,2.121134156637184
SGOV,114,0.0038611941036569204,0.003988282043588365,0.0018838067324632134,2.049676347959607
BIL,114,0.003790878691237342,0.003883060123867521,0.0018686357285512027,2.0286878995814233
FTSM,114,0.0038567627131713992,0.003685528225244261,0.0019059015420967952,2.0235896912745797
PULS,114,0.00450612228976817,0.0043439072410376145,0.002237349235622344,2.0140451110730333
BILS,114,0.0037621482010114595,0.003787773688824214,0.0018840449449528639,1.9968463125520517
SHV,114,0.0037675239824543965,0.0037768992162826587,0.0019001029525510013,1.9827999200760524
TFLO,114,0.0038824905066283445,0.0038191921199342005,0.0019704682333694374,1.9703390498152868
GSST,114,0.00440825732596187,0.004324333754584853,0.0022565326786067176,1.9535535061179445
ICSH,114,0.004123841580328488,0.004044864615615595,0.0021259218563042448,1.9397898225184422
RAVI,114,0.004141387115045277,0.004277451201078697,0.002135408841405119,1.9393883900565878
VRIG,114,0.005016317790729261,0.005026600824410865,0.0026272145560376783,1.9093673865353382
USFR,114,0.0037354856560094032,0.0037803577346213757,0.0019748777297972876,1.8915022432263866
JPST,114,0.004075128421143154,0.004121733615365941,0.002180579367603919,1.8688282947577453
GBIL,114,0.003772963843254225,0.0036963306644468563,0.00214797688145529,1.7565197632378515
YEAR,114,0.004155452498136661,0.004025934419481181,0.0024318915125256233,1.7087326785482488
ULST,114,0.0040359640821645785,0.003996017200578628,0.0024871439845788827,1.6227303715381554
VUSB,114,0.004129755860800228,0.004121105255634361,0.002634347806831052,1.5676577899438622
CLOA,114,0.005671842919399584,0.00533373770868395,0.0038959032731219548,1.4558479822971817
FLDR,114,0.004553895977118374,0.004608211000221796,0.0032250903255441757,1.4120212203203908
XONE,114,0.003651171603866204,0.003596187526167527,0.002589349941192374,1.4100726772314405
FLOT,114,0.004830790902532677,0.00474655419870651,0.003525742225138465,1.3701486365308397
MEAR,114,0.002954693421811914,0.0027287727414971874,0.002185550537962902,1.3519218020764283
JAAA,114,0.005550819482786611,0.005568393958699569,0.0041142224713527084,1.3491782521331586
JMST,114,0.0027396135927232356,0.0024971816164357508,0.002147246652975057,1.2758727968803403
BSJP,114,0.006366916267864108,0.0057230085792389085,0.005008380649657788,1.2712524692585307
BSCP,114,0.003871579583739394,0.003393502838794138,0.0030943083375869988,1.251193857028006
IBDQ,114,0.003907153866611309,0.003355817593468924,0.003152121786386479,1.2395313796204497
IBHE,114,0.006265857485720099,0.005781496905771344,0.005354965568954127,1.1701022919824073
NEAR,114,0.004968023013721386,0.004509246412887191,0.004491454774827445,1.1061055410297993
USTB,114,0.005299351528510015,0.004551349101911795,0.005060494256343588,1.047200384007354
CLOI,114,0.0062907874459613815,0.00598163037161592,0.00610197210543687,1.030943330658014
SHLD,53,0.054121298669266626,0.04974175999236863,0.05501448548350907,0.9837645157199519
DFSD,114,0.004726019571440817,0.004354475562355131,0.004830873286394435,0.9782950806743522
SPSB,114,0.004494279202890653,0.0039323494692709016,0.004594457303692882,0.9781958794737936
IBTF,114,0.0034137455853788822,0.0031588644828648427,0.003566570991718084,0.9571506058076295
