,SMH,USD,SOXL,SPY,QQQ,TQQQ,NVDA,FNGU,FNGS,MAGS,MAGX,MAG7.L,NVD3.L,QQQ5.L,SMH3.L,IYW,IGM,XLKS.MI
1,0.24590079194556086,0.2725060834663294,0.1756418266214311,0.27561250288949773,0.28144026953298734,0.2505520795543571,0.3923454022792356,0.2948765026910201,0.32100273682964103,0.28205806388613347,0.16866923836762224,0.1457323805479682,0.37680340600981854,0.23835348156104771,0.22407674662347113,0.28660041101050493,0.29237064800531254,0.3019340421646262
2,0.3428994998681357,0.37893123148014807,0.236921327597532,0.39164425589439933,0.39663732461002926,0.3472875800605943,0.5295828594885076,0.39106691154819856,0.4313754503318459,0.4040810718281631,0.24710999851013118,0.26217034245785714,0.49893853551970163,0.32874830511984715,0.30517005324861257,0.3989709784312836,0.406047116438946,0.4095842910540797
3,0.42018727504105985,0.4693326781834368,0.2890418081489182,0.4765153523635724,0.4854419803990248,0.4216226828041557,0.641856270342851,0.4588003742277412,0.5153433447006168,0.526876411000744,0.34226857303157665,0.3498095966738227,0.5776144086614422,0.39433698516836263,0.36997970608737396,0.4897043446208632,0.49871206866528506,0.49939028116788603
4,0.4995204852996183,0.5439897915992944,0.3279358742459476,0.5798191718061353,0.5929354846638075,0.49994174017597487,0.7335702569020515,0.5093079136380877,0.5941278389580892,0.6400493657812145,0.40189539608639147,0.4070237881367436,0.6245612735109753,0.4577038446469424,0.4246338331457258,0.5900181533673157,0.605469737598103,0.5867366624246941
5,0.5544337843040789,0.5834815414151205,0.3470057151358196,0.6549368733825013,0.6793566947811046,0.5600854536960441,0.7865908965543228,0.5756691750153663,0.682564110839276,0.7342265116187113,0.45711407012259014,0.42514416904036056,0.6564708818310103,0.500823018538327,0.4499107301671785,0.6707440841236392,0.6942026908679996,0.6510095013115694
6,0.6048134237562918,0.6361458233508717,0.3766482916979706,0.7257381989626769,0.7584819071729099,0.6187931958145284,0.8485159009220473,0.6384068692609706,0.7700435249697668,0.8036883521543515,0.5007274702804289,0.4398864722285526,0.7034919065496669,0.5510267545462202,0.49157286206703,0.754659027053642,0.7790018799205978,0.7148750517666612
7,0.6379635581598344,0.6700836692428748,0.3862854522441587,0.7849001026099546,0.8063532646942894,0.6521172654792144,0.8904576903674737,0.6834076278822563,0.8269493739355488,0.8277943697778718,0.49160262309471797,0.4189713964391324,0.7303770309289302,0.5745255389889203,0.5108196925768644,0.8050082757850177,0.8326585550005907,0.7668080306645038
8,0.6816645593775967,0.7083898078291258,0.4155252452636612,0.8504233890684474,0.8605887841483174,0.6954887767913138,0.9402908785667908,0.7230638604177849,0.8750706852126496,0.8719890564836289,0.5625629001799194,0.42822455682811794,0.7637584707334106,0.6108321004546338,0.5449017778234032,0.8598450350434209,0.8886573148026659,0.8345007442484607
9,0.7492317998457679,0.7742649824052418,0.44812052095452476,0.9283695310976272,0.9400282554256462,0.752222400808473,1.0210884252510761,0.7765286122228067,0.9427088893451671,0.9682274174071492,0.6439296340455282,0.42822718969199425,0.7903267407036163,0.6560387084928407,0.586142568968266,0.9446870335349348,0.9728181753596449,0.9272357548688336
10,0.8109598724790242,0.8385863813257978,0.4878477601013479,1.0196410812839805,1.00484375048702,0.8028575237236955,1.0813329198025474,0.8038514207302314,0.9811768108574211,1.0533140383805129,0.6975108866119591,0.39764913192097867,0.820350366589861,0.7025856623091363,0.6364843177718074,1.0061972770685559,1.0467673097804298,1.0035845645568076
11,0.8542069480394612,0.8751029130453114,0.5010739292116893,1.092532066065721,1.0367338677154345,0.8207389077874653,1.125545698768833,0.8128272943158498,1.0037897219747844,1.0888624730253211,0.7088795879875975,0.3399123505789765,0.8391929294754642,0.7118017408741826,0.6592645729989702,1.0400123034181525,1.0855404598953386,1.0737715388183426
12,0.8900613190169059,0.9128206046206401,0.5079059792600199,1.146796667799117,1.0694749634353766,0.838611929863728,1.1892674726205308,0.830358339900948,1.0419344911232604,1.1594471396494357,0.7884836929893807,0.29458990351182984,0.8753447640656317,0.7215398115337373,0.6766021726364437,1.0803602983931742,1.1229367935374113,1.1479126743138632
