Date,Open,High,Low,Close,Volume
1/3/2023 16:00:00,8.53,8.55,7.97,8.05,94865
1/4/2023 16:00:00,8.34,8.56,8.16,8.48,137062
1/5/2023 16:00:00,8.29,8.32,8.11,8.13,58348
1/6/2023 16:00:00,8.32,8.96,8.09,8.86,140991
1/9/2023 16:00:00,9.19,9.62,9.06,9.19,271506
1/10/2023 16:00:00,9.09,9.41,8.99,9.4,129213
1/11/2023 16:00:00,9.4,9.63,9.23,9.61,112522
1/12/2023 16:00:00,9.68,9.95,9.26,9.85,89108
1/13/2023 16:00:00,9.63,9.98,9.6,9.97,101641
1/17/2023 16:00:00,9.93,10.28,9.92,10.11,108645
1/18/2023 16:00:00,10.28,10.4,9.92,9.94,121626
1/19/2023 16:00:00,9.71,9.72,9.28,9.34,131187
1/20/2023 16:00:00,9.5,9.98,9.33,9.96,99199
1/23/2023 16:00:00,10.15,11.07,10.08,10.99,243458
1/24/2023 16:00:00,10.78,11.03,10.7,10.89,106897
1/25/2023 16:00:00,10.54,10.93,10.3,10.91,302724
1/26/2023 16:00:00,11.15,11.29,10.79,11.26,238805
1/27/2023 16:00:00,10.83,11.38,10.76,11.22,120075
1/30/2023 16:00:00,10.87,11,10.53,10.54,116541
1/31/2023 16:00:00,10.48,10.95,10.48,10.94,84218
2/1/2023 16:00:00,11.03,12.33,11.03,12.1,228605
2/2/2023 16:00:00,12.22,12.88,12.22,12.66,177127
2/3/2023 16:00:00,12.15,12.75,12,12.19,150043
2/6/2023 16:00:00,11.85,12.28,11.81,11.92,72481
2/7/2023 16:00:00,12.03,12.78,11.94,12.67,134014
2/8/2023 16:00:00,12.59,12.79,12.14,12.21,123211
2/9/2023 16:00:00,12.64,12.8,11.99,12.12,109833
2/10/2023 16:00:00,11.84,11.86,11.38,11.64,116404
2/13/2023 16:00:00,11.73,12.14,11.62,12.03,60349
2/14/2023 16:00:00,11.85,12.65,11.72,12.58,125226
2/15/2023 16:00:00,12.42,12.75,12.15,12.73,301012
2/16/2023 16:00:00,12.26,12.48,12,12.04,227743
2/17/2023 16:00:00,11.89,11.9,11.39,11.61,69396
2/21/2023 16:00:00,11.29,11.52,10.84,10.87,197150
2/22/2023 16:00:00,10.9,11.13,10.67,10.81,65066
2/23/2023 16:00:00,11.75,11.96,11.43,11.87,180941
2/24/2023 16:00:00,11.49,11.6,11.28,11.5,90310
2/27/2023 16:00:00,11.8,11.89,11.63,11.64,98503
2/28/2023 16:00:00,11.63,12.03,11.57,11.66,97939
3/1/2023 16:00:00,11.76,11.87,11.48,11.61,49562
3/2/2023 16:00:00,11.3,11.98,11.19,11.9,105171
3/3/2023 16:00:00,11.96,12.34,11.84,12.34,80202
3/6/2023 16:00:00,12.38,12.65,12.04,12.1,122660
3/7/2023 16:00:00,12.11,12.26,11.77,11.82,95974
3/8/2023 16:00:00,11.94,12.45,11.94,12.44,83349
3/9/2023 16:00:00,12.43,12.8,11.9,11.93,142076
3/10/2023 16:00:00,12.04,12.14,11.41,11.53,193833
3/13/2023 16:00:00,11.3,11.8,11.03,11.51,279614
3/14/2023 16:00:00,11.96,12.42,11.9,12.28,130949
3/15/2023 16:00:00,12.01,12.21,11.63,12.17,141248
3/16/2023 16:00:00,12.04,13.17,11.98,13.15,139888
3/17/2023 16:00:00,13.19,13.5,12.92,13.06,145277
3/20/2023 16:00:00,13.03,13.37,12.78,13.28,101940
3/21/2023 16:00:00,13.5,13.7,12.96,13.35,180024
3/22/2023 16:00:00,13.42,14.23,13.25,13.25,242322
3/23/2023 16:00:00,13.66,14.26,13.49,13.96,132714
3/24/2023 16:00:00,13.76,13.76,13.23,13.49,79970
3/27/2023 16:00:00,13.62,13.65,13.12,13.23,82529
3/28/2023 16:00:00,13.18,13.18,12.64,13.03,89945
3/29/2023 16:00:00,13.35,13.9,13.35,13.76,116002
3/30/2023 16:00:00,14.09,14.35,14.02,14.21,245382
3/31/2023 16:00:00,14,14.48,13.94,14.46,124627
4/3/2023 16:00:00,14.28,14.42,13.91,14.32,123613
4/4/2023 16:00:00,14.38,14.38,13.68,13.84,83762
4/5/2023 16:00:00,13.51,13.51,13.03,13.32,135338
4/6/2023 16:00:00,13.04,13.38,12.87,13.25,42845
4/10/2023 16:00:00,13.07,13.75,13.03,13.73,77489
4/11/2023 16:00:00,13.88,13.88,13.49,13.52,76814
4/12/2023 16:00:00,13.71,13.74,12.97,12.98,94409
4/13/2023 16:00:00,13.1,13.33,12.85,13.15,90969
4/14/2023 16:00:00,13.12,13.42,12.82,13.16,64591
4/17/2023 16:00:00,12.96,13.29,12.9,13.29,139503
4/18/2023 16:00:00,13.6,13.8,13.28,13.5,89755
4/19/2023 16:00:00,13.16,13.41,13.14,13.38,58590
4/20/2023 16:00:00,13.1,13.61,13.09,13.19,74827
4/21/2023 16:00:00,13.04,13.12,12.8,13.06,42652
4/24/2023 16:00:00,13,13.17,12.77,12.97,77555
4/25/2023 16:00:00,12.86,12.86,12.16,12.16,408034
4/26/2023 16:00:00,12.42,12.55,12.17,12.26,95657
4/27/2023 16:00:00,12.28,12.46,11.86,12.45,77493
4/28/2023 16:00:00,12.54,12.91,12.48,12.9,86577
5/1/2023 16:00:00,12.99,13.35,12.97,13.28,123823
5/2/2023 16:00:00,13.22,13.31,12.72,12.9,288818
5/3/2023 16:00:00,12.73,13,12.56,12.58,70462
5/4/2023 16:00:00,12.42,12.61,12.25,12.44,91457
5/5/2023 16:00:00,12.6,13.23,12.51,13.16,61350
5/8/2023 16:00:00,13.08,13.37,12.91,13.36,56441
5/9/2023 16:00:00,13.05,13.05,12.82,12.88,79475
5/10/2023 16:00:00,13.24,13.29,12.85,13.15,68281
5/11/2023 16:00:00,13.17,13.17,12.73,12.95,46708
5/12/2023 16:00:00,12.99,13.13,12.67,12.9,42042
5/15/2023 16:00:00,12.96,13.52,12.87,13.5,99200
5/16/2023 16:00:00,13.48,13.89,13.46,13.56,76441
5/17/2023 16:00:00,13.8,14.27,13.63,14.19,114988
5/18/2023 16:00:00,14.34,15.28,14.32,15.21,571092
5/19/2023 16:00:00,15.14,15.17,14.84,14.98,104046
5/22/2023 16:00:00,14.75,15.12,14.7,15.02,288582
5/23/2023 16:00:00,14.81,15.06,14.65,14.68,74764
5/24/2023 16:00:00,14.21,14.34,13.94,14.29,100345
5/25/2023 16:00:00,17.07,17.57,16.37,17.4,604571
5/26/2023 16:00:00,17.69,19.4,17.64,19.22,466544
5/30/2023 16:00:00,20.34,21.04,19.55,19.61,318939
5/31/2023 16:00:00,19.02,19.57,18.39,18.39,154894
6/1/2023 16:00:00,18.71,19.54,18.42,19.27,189690
6/2/2023 16:00:00,19.56,19.75,18.99,19.18,154853
6/5/2023 16:00:00,18.94,18.94,18.45,18.68,112408
6/6/2023 16:00:00,18.44,19.01,18.35,18.83,161008
6/7/2023 16:00:00,19,19.5,18.35,18.39,143168
6/8/2023 16:00:00,18.57,19.08,18.45,18.98,65518
6/9/2023 16:00:00,19.34,19.73,18.97,19.07,126298
6/12/2023 16:00:00,19.45,20.27,19.45,20.23,136445
6/13/2023 16:00:00,20.95,21.15,20.34,21,185059
6/14/2023 16:00:00,20.84,22.08,20.75,22.06,183510
6/15/2023 16:00:00,21.61,22.14,21.35,21.72,139718
6/16/2023 16:00:00,22.29,22.3,21.43,21.43,132851
6/20/2023 16:00:00,21.43,21.67,20.98,21.57,73321
6/21/2023 16:00:00,21.37,21.38,20.28,20.52,208873
6/22/2023 16:00:00,20.14,20.81,20.14,20.59,76835
6/23/2023 16:00:00,20,20.2,19.73,19.85,124252
6/26/2023 16:00:00,20.1,20.58,19.38,19.48,197139
6/27/2023 16:00:00,19.65,20.79,19.49,20.75,196163
6/28/2023 16:00:00,19.95,20.76,19.88,20.34,113169
6/29/2023 16:00:00,20.62,20.62,19.98,20.26,141190
6/30/2023 16:00:00,20.78,21.25,20.68,21.12,71227
7/3/2023 13:15:00,21.29,21.56,21.04,21.32,49182
7/5/2023 16:00:00,21.1,21.41,20.72,20.74,103311
7/6/2023 16:00:00,20.11,20.34,19.8,20.31,138454
7/7/2023 16:00:00,20.4,21.03,20.33,20.41,103648
7/10/2023 16:00:00,20.5,20.92,20.35,20.92,66289
7/11/2023 16:00:00,21.08,21.16,20.48,20.96,71740
7/12/2023 16:00:00,21.5,21.95,21.4,21.91,124181
7/13/2023 16:00:00,22.4,23.12,22.27,23.08,187989
7/14/2023 16:00:00,23.24,24.01,22.33,22.54,351423
7/17/2023 16:00:00,22.83,23.76,22.41,23.62,106667
7/18/2023 16:00:00,23.53,24.16,23.08,23.92,156638
