symbol,weeks,mean_change,std,score
SPY,95,0.2764762509928083,0.05281736454896812,5.2345711179224255
QQQ,95,0.3655638541634992,0.08243167449433021,4.434749826520184
IYW,95,0.44470232276678884,0.09603887795595407,4.630440632289987
IGM,95,0.4901351000755975,0.08489493280441415,5.773431745388138
XLKS.MI,95,0.5034840781680845,0.07179704714089584,7.012601467857559
SMH,95,0.6905701950020203,0.10736813873055376,6.431798140182388
USD,95,2.241885685841995,0.4673354544842372,4.797165856624756
SOXL,95,1.2984248980021993,0.496965301315947,2.6127073551493734
TQQQ,95,1.0889728624817097,0.3783966931530491,2.8778604099514573
FNGU,95,2.053628065318655,0.8722020371194823,2.3545325256301024
FNGS,95,0.5829984973481016,0.1527449228519912,3.816810971275446
MAGS,81,0.5024270508352163,0.0744621910514875,6.747411588893603
NVD3.L,95,12.550244047697786,5.266909599478289,2.382847818185629
QQQ5.L,95,1.8434165806667133,0.8736141853738548,2.1101037638003106
SP5Y.L,95,1.2429982395089634,0.48708629388965047,2.5519055968151814
SMH3.L,95,2.2678300565386182,0.6622852790103356,3.424249531753863
MAGX,35,,,
MAG7.L,29,,,
