symbol,weeks,change,std,score
MAGS,98,0.07863138729129351,0.07507810012279101,1.0473278780721818
FNGS,112,0.09013255229258976,0.087976448274868,1.024507741105726
IGM,112,0.06668401361599804,0.06684686628578163,0.9975637950014387
XLKS.MI,112,0.07086599117277527,0.07308387230640395,0.9696529334908498
QQQ,112,0.0550848157761858,0.05729733790503181,0.9613852543635939
SPY,112,0.03876578588382492,0.041726498209712144,0.9290447928075092
NVDA,112,0.20247549173398585,0.2241834055597198,0.903168953243726
FNGU,112,0.25143558131710214,0.3016933340374094,0.8334144409233935
TQQQ,112,0.1415862303617141,0.18741091146594643,0.7554855224501754
USD,112,0.20287162947599102,0.2906418784490456,0.6980123805921445
SMH,112,0.07483682297405823,0.11078905113813625,0.6754893394722613
MAGX,52,,,
MAG7.L,46,,,
