Fund name,Fund size (in m €),Ticker
SPDR S&P Global Dividend Aristocrats UCITS ETF,1324,ZPRG
iShares Digital Security UCITS ETF USD (Acc),1324,L0CK
iShares MSCI Europe ex-UK UCITS ETF,1321,IQQU
Amundi MSCI Emerging Markets Swap UCITS ETF USD Acc,1319,X9I1
L&G MSCI Europe Climate Pathway UCITS ETF EUR Accumulating ETF,1316,DELF
Amundi EUR Corporate Bond 1-5Y ESG UCITS ETF DR,1312,A4H7
UBS Core MSCI Japan UCITS ETF JPY dis,1311,UIM5
iShares Core Global Aggregate Bond UCITS ETF GBP Hedged (Dist),1311,IS0G
iShares USD Short Duration Corporate Bond UCITS ETF (Dist),1306,IS3J
iShares MSCI USA Screened UCITS ETF USD (Dist),1306,SLUS
iShares Edge MSCI USA Quality Factor UCITS ETF,1303,QDVB
Xtrackers IE Physical Gold EUR Hedged ETC Securities,1300,XGDE
iShares Global Aerospace & Defence UCITS ETF USD (Acc),1292,5J50
iShares Euro Government Bond 3-7yr UCITS ETF (Acc),1287,SXRP
VanEck Junior Gold Miners UCITS,1287,G2XJ
Amundi MSCI Emerging Markets ESG Broad Transition UCITS ETF DR (C),1283,SBIM
iShares Euro Dividend UCITS ETF,1282,IQQA
iShares $ Treasury Bond 7-10yr UCITS ETF EUR Hedged (Dist),1278,IBB1
Amundi Bloomberg Equal-weight Commodity ex-Agriculture UCITS ETF Acc,1277,LYTR
Deka EURO STOXX 50 UCITS ETF,1275,EL4B
Invesco Quantitative Strategies ESG Global Equity Multi-Factor UCITS ETF Acc,1275,IQSA
Vanguard FTSE Japan UCITS ETF (USD) Accumulating,1271,VJPA
BNP Paribas Easy EUR Corporate Bond SRI PAB UCITS ETF Acc,1269,ASRI
Amundi Euro Lowest Rated IG Government Bond UCITS ETF EUR Acc,1269,KX1G
iShares MSCI EMU Paris-Aligned Climate UCITS ETF EUR (Acc),1268,CBUB
Amundi Core Euro Government Bond UCITS ETF Acc,1262,A4HC
iShares Edge S&P 500 Minimum Volatility UCITS ETF (Acc),1259,IBCK
iShares MSCI EM IMI Screened UCITS ETF USD (Dist),1254,OM3Y
iShares World Equity Enhanced Active UCITS ETF USD (Acc),1242,WOEE
iShares MSCI Japan ESG Enhanced CTB UCITS ETF USD (Acc),1237,EDMJ
VanEck World Equal Weight Screened UCITS ETF A,1234,TSWE
Vanguard FTSE Developed Europe ex UK UCITS ETF (EUR) Accumulating,1231,VERE
Fidelity US Quality Income UCITS ETF INC-USD,1228,FUSD
L&G Artificial Intelligence UCITS ETF,1227,XMLD
Amundi MSCI Europe SRI Climate Paris Aligned UCITS ETF DR (C),1227,MIVB
UBS MSCI World Socially Responsible UCITS ETF USD acc,1221,4UBH
SPDR MSCI EM Asia UCITS ETF,1212,SPYA
SPDR MSCI Europe Industrials UCITS ETF,1207,SPYQ
Vanguard EUR Eurozone Government Bond UCITS ETF Distributing,1205,VGEB
Xtrackers II EUR Overnight Rate Swap UCITS ETF 1D,1205,XEOD
First Trust Nasdaq Clean Edge Smart Grid Infrastructure UCITS ETF Acc,1203,GRID
Invesco MDAX UCITS ETF A,1201,DEAM
iShares MSCI World Quality Dividend Advanced UCITS ETF USD (Dist),1199,QDVW
Xtrackers MSCI World Energy UCITS ETF 1C,1196,XDW0
iShares MSCI Japan UCITS ETF USD (Acc),1189,SXR5
iShares USD Corporate Bond ESG SRI UCITS ETF EUR Hedged (Dist),1187,36BA
iShares USD Treasury Bond 3-7yr UCITS ETF EUR Hedged (Dist),1184,CBUE
Invesco US Treasury Bond 7-10 Year UCITS ETF Dist,1178,TRDX
Amundi Index Euro Aggregate SRI UCITS ETF DR (C),1175,PR10
JPMorgan Global Equity Premium Income Active UCITS ETF USD (dist),1166,JGPI
Xtrackers MSCI World Swap UCITS ETF 4C EUR hedged,1164,XWEH
iShares Global Corporate Bond EUR Hedged UCITS ETF (Dist),1164,IBCQ
UBS Core MSCI USA UCITS ETF USD dis,1163,UBU3
Invesco EURO STOXX 50 UCITS ETF,1160,SC0D
SPDR S&P U.S. Technology Select Sector UCITS ETF USD,1153,ZPDT
CoinShares Physical Bitcoin,1148,BITC
BNP Paribas Easy MSCI EMU Min TE UCITS ETF,1144,EMUX
iShares EUR Corporate Bond ex-Financials 1-5yr ESG SRI UCITS ETF EUR (Dist),1140,EUNS
Amundi Core Global Government Bond UCITS ETF EUR Hedged Acc,1135,A4HD
Amundi Core Nasdaq-100 Swap UCITS ETF Dist,1130,NADQ
AXA IM MSCI World Equity PAB UCITS ETF USD Acc,1126,AWDT
Amundi Euro Government Inflation-Linked Bond UCITS ETF Acc,1126,LYQ7
Amundi Prime Global UCITS ETF Dist,1123,MWOL
Amundi MSCI EMU ESG Broad Transition UCITS ETF Acc,1122,LGQG
Amundi Prime Global UCITS ETF Acc,1118,F50A
iShares EUR Government Bond 0-1yr UCITS ETF,1117,EUN6
Xtrackers MSCI China UCITS ETF 1C,1109,XCS6
Xtrackers EUR High Yield Corporate Bond UCITS ETF 1D,1109,XHYG
Amundi Prime Euro Government Bond UCITS ETF Dist,1102,PR1R
Xtrackers II Eurozone Government Bond 7-10 UCITS ETF 1C,1100,X710
Xtrackers MSCI Canada Screened UCITS ETF 1C,1100,D5BH
iShares Edge MSCI EM Value Factor UCITS ETF USD (Acc),1096,5MVL
Fidelity US Equity Research Enhanced UCITS ETF ACC-USD,1092,FUSR
iShares MSCI AC Far East ex-Japan UCITS ETF,1092,IQQF
Xtrackers II US Treasuries UCITS ETF 2D - EUR Hedged,1091,XUTE
Amundi MSCI Semiconductors UCITS ETF Acc,1090,LSMC
Amundi Core EUR Corporate Bond UCITS ETF EUR Dist,1087,PR1C
Xtrackers MSCI Europe ESG UCITS ETF 1C,1082,XZEU
iShares MSCI Japan EUR Hedged UCITS ETF (Acc),1081,IBCG
JPMorgan US Research Enhanced Index Equity (ESG) UCITS ETF EUR Hedged (acc),1077,JUHE
SPDR MSCI All Country World UCITS ETF EUR Hedged (Acc),1073,SPP1
Amundi Prime All Country World UCITS ETF Acc,1068,WEBN
iShares S&P 500 Communication Sector UCITS ETF USD (Acc),1068,IU5C
iShares MSCI North America UCITS ETF,1064,IQQN
UBS Core S&P 500 UCITS ETF USD dis,1062,UBU9
iShares Emerging Markets Dividend UCITS ETF,1054,EUNY
Xtrackers Eurozone Government Bond 5-7 UCITS ETF 1C,1051,X57E
SPDR FTSE Global Convertible Bond UCITS ETF EUR Hedged (Acc),1049,SPF1
Amundi MSCI Europe ESG Selection UCITS ETF Acc,1045,LEAD
SPDR Bloomberg 1-3 Year Euro Government Bond UCITS ETF,1044,SYB3
Amundi MSCI India Swap UCITS ETF EUR Acc,1044,LYMD
Xtrackers II US Treasuries UCITS ETF 1D,1042,XUTD
UBS CMCI Composite SF UCITS ETF USD acc,1042,UIQK
iShares J.P. Morgan Advanced USD EM Bond UCITS ETF USD (Acc),1040,SLME
iShares MSCI EMU Small Cap UCITS ETF (Acc),1032,SXRJ
Xtrackers iBoxx Sovereigns Eurozone Yield Plus UCITS ETF 1C,1030,XY4P
iShares USD Treasury Bond 1-3yr UCITS ETF EUR Hedged (Acc),1024,2B7S
iShares USD Short Duration High Yield Corporate Bond UCITS ETF USD (Acc),1024,OM3J
Deka DAX (ausschüttend) UCITS ETF,1020,EL4F
HSBC MSCI China UCITS ETF USD,1012,H4ZP
iShares S&P U.S. Banks UCITS ETF USD (Acc),1012,IUS2
L&G US Equity UCITS ETF,1000,ETLS
Invesco Physical Silver,997,8PSB
Amundi EUR Corporate Bond Climate Paris Aligned UCITS ETF Acc,997,LYEB
iShares J.P. Morgan Advanced USD EM Bond UCITS ETF EUR Hedged (Acc),993,SLMG
