Fund name,Fund size (in m €),Ticker
iShares USD Treasury Bond 1-3yr UCITS ETF (Acc),5989,IS0F
iShares EUR High Yield Corporate Bond UCITS ETF EUR (Dist),5987,EUNW
Amundi Core MSCI World Swap UCITS ETF Dist,5863,AHYQ
Xtrackers Artificial Intelligence & Big Data UCITS ETF 1C,5744,XAIX
Xtrackers EURO STOXX 50 UCITS ETF 1D,5645,XESX
Xtrackers MSCI World ESG UCITS ETF 1C,5623,XZW0
Amundi MSCI World Swap UCITS ETF EUR Acc,5537,AMEW
iShares MSCI EM Asia UCITS ETF (Acc),5477,CEBL
iShares Core EURO STOXX 50 UCITS ETF EUR (Dist),5424,EUN2
Amundi Euro Stoxx Banks UCITS ETF Acc,5193,LYBK
Xtrackers MSCI AC World Screened UCITS ETF 1C,5170,XMAW
iShares MSCI EM IMI Screened UCITS ETF USD (Acc),5139,AYEM
iShares Core Euro Government Bond UCITS ETF (Dist),5080,EUNH
JPMorgan Global Research Enhanced Index Equity (ESG) UCITS ETF USD (acc),4993,JREG
Vanguard FTSE Developed World UCITS ETF Acc,4972,VGVF
iShares MSCI World Screened UCITS ETF USD (Acc),4957,SNAW
iShares Edge MSCI World Value Factor UCITS ETF,4955,IS3S
Xtrackers S&P 500 Swap UCITS ETF 1D,4942,XSXD
Vanguard FTSE 100 UCITS ETF (GBP) Distributing,4918,VUKE
WisdomTree Physical Swiss Gold,4912,GZUR
Xtrackers MSCI World Swap UCITS ETF 1C,4890,DBXW
iShares MSCI World EUR Hedged UCITS ETF (Acc),4888,IBCH
iShares USD Short Duration Corporate Bond UCITS ETF (Acc),4884,IS09
iShares J.P. Morgan EM Local Government Bond UCITS ETF,4854,IUSP
Amundi Index Euro Corporate SRI UCITS ETF DR (C),4838,A4H8
Xtrackers II EUR Corporate Bond UCITS ETF 1C,4801,D5BG
Amundi Smart Overnight Return UCITS ETF Acc,4774,LYOR
SPDR Bloomberg 1-5 Year U.S. Corporate Bond UCITS ETF USD (Acc),4706,SPP5
Amundi Core MSCI Japan UCITS ETF Acc,4701,LCUJ
iShares MSCI Europe Screened UCITS ETF EUR (Acc),4690,SLMC
iShares MSCI India UCITS ETF USD (Acc),4651,QDV5
Xtrackers MSCI World UCITS ETF 1D,4630,XDWL
Xtrackers MSCI World ex USA UCITS ETF 1C,4598,EXUS
iShares Nasdaq 100 UCITS ETF (DE),4560,EXXT
Deka MSCI World UCITS ETF Distribution,4485,ELFW
Vanguard FTSE Developed Europe UCITS ETF Distributing,4478,VGEU
iShares EUR Corporate Bond ESG SRI UCITS ETF (Dist),4466,OM3F
iShares Gold Producers UCITS ETF,4451,IS0E
iShares MSCI Europe ESG Enhanced CTB UCITS ETF EUR (Dist),4436,EMNU
Amundi Core Nasdaq-100 Swap UCITS ETF Acc,4433,LYMS
SPDR Russell 2000 US Small Cap UCITS ETF,4403,ZPRR
Xtrackers MSCI Japan UCITS ETF 1C,4351,DBXJ
Xtrackers MSCI World Information Technology UCITS ETF 1C,4340,XDWT
SPDR MSCI All Country World Investable Market UCITS ETF (Acc),4335,SPYI
Xtrackers MSCI USA Swap UCITS ETF 1C,4327,XMUS
SPDR S&P 400 U.S. Mid Cap UCITS ETF USD Unhedged (Acc),4320,SPY4
WisdomTree Europe Defence UCITS ETF EUR Unhedged Acc,4312,EUDF
EUWAX Gold II,4307,EWG2
SPDR S&P 500 Leaders UCITS ETF USD Unhedged (Acc),4269,SPPY
Gold Bullion Securities,4198,GG9B
iShares USD Treasury Bond 7-10yr UCITS ETF (Acc),4159,SXRM
Amundi EURO STOXX 50 II UCITS ETF Acc,4078,LYSX
Amundi Core MSCI Emerging Markets Swap UCITS ETF Dist,4069,AE5A
iShares EUR Corporate Bond 1-5yr UCITS ETF EUR (Dist),4031,EUNT
iShares STOXX Global Select Dividend 100 UCITS ETF (DE),4020,ISPA
Amundi Core MSCI Europe UCITS ETF Acc,4015,A4HZ
Xtrackers S&P 500 Swap UCITS ETF 1C,3994,D5BM
iShares Edge MSCI World Quality Factor UCITS ETF (Acc),3916,IS3Q
iShares STOXX Europe 600 Banks UCITS ETF (DE),3913,EXV1
UBS MSCI World Socially Responsible UCITS ETF USD dis,3869,UIMM
iShares MSCI World ESG Enhanced CTB UCITS ETF USD (Acc),3851,EDMW
iShares MSCI EM ex-China UCITS ETF USD (Acc),3847,84X0
Amundi Core MSCI Emerging Markets Swap UCITS ETF Acc,3839,AE51
VanEck Semiconductor UCITS ETF,3828,VVSM
iShares US Aggregate Bond UCITS ETF (Acc),3742,IS03
VanEck Gold Miners UCITS ETF,3740,G2X
iShares MSCI Brazil UCITS ETF (DE) USD (Acc),3735,4BRZ
iShares EUR High Yield Corporate Bond ESG SRI UCITS ETF EUR (Acc),3706,AYE2
iShares USD Corporate Bond UCITS ETF (Acc),3703,IS01
iShares Core UK Gilts UCITS ETF,3695,2B7M
iShares S&P 500 Equal Weight UCITS ETF USD (Acc),3657,O4J0
iShares EUR Ultrashort Bond UCITS ETF EUR (Dist),3629,IS3M
Amundi MSCI Emerging Markets Swap UCITS ETF EUR Acc,3603,AMEM
Vanguard FTSE Developed World UCITS ETF Distributing,3557,VGVE
Xtrackers STOXX Europe 600 UCITS ETF 1C,3548,XSX6
Amundi Core MSCI Emerging Markets UCITS ETF Acc,3541,10AF
Amundi MSCI Emerging Ex China UCITS ETF Acc,3511,EMXC
iShares J.P. Morgan USD Emerging Markets Bond UCITS ETF (Dist),3505,IUS7
Amundi Core S&P 500 Swap UCITS ETF USD Dist,3497,6TVM
Xtrackers MSCI World Value UCITS ETF 1C,3479,XDEV
iShares Edge MSCI World Momentum Factor UCITS ETF (Acc),3409,IS3R
iShares Core EUR Corporate Bond UCITS ETF (Acc),3402,IUSG
UBS EURO STOXX 50 ESG UCITS ETF EUR dis,3393,UET5
Amundi Core EURO STOXX 50 UCITS ETF EUR Acc,3369,V50A
Amundi CAC 40 UCITS ETF Dist,3361,LYY
Xtrackers MSCI World Swap UCITS ETF 1D,3357,XWD1
iShares Core FTSE 100 UCITS ETF GBP (Acc),3350,SXRW
Xtrackers MSCI Japan ESG UCITS ETF 1C,3324,XZMJ
Amundi S&P 500 Screened UCITS ETF Acc,3320,F500
Vanguard FTSE Developed Europe ex UK UCITS ETF (EUR) Distributing,3305,VERX
iShares MSCI China UCITS ETF USD (Acc),3289,ICGA
iShares Physical Silver ETC,3256,PPFD
Vanguard EUR Eurozone Government Bond UCITS ETF Accumulating,3250,VGEA
iShares Automation & Robotics UCITS ETF,3250,2B76
HSBC MSCI Emerging Markets UCITS ETF USD,3243,H410
iShares MSCI EM SRI UCITS ETF,3239,QDVS
PIMCO US Dollar Short Maturity UCITS ETF Dist,3236,PJSB
BNP Paribas Easy S&P 500 UCITS ETF USD,3223,ESAP
Invesco EQQQ Nasdaq-100 UCITS ETF Acc,3178,EQQB
iShares Core Global Aggregate Bond UCITS ETF USD Hedged (Acc),3154,QDVJ
BNP Paribas Easy MSCI Europe Min TE UCITS ETF,3140,EEUX
Xtrackers MSCI Europe Small Cap UCITS ETF 1C,3136,XXSC
WisdomTree Physical Silver,3115,VZLC
iShares MSCI USA Swap UCITS ETF USD (Acc),3115,N810
iShares Core MSCI Pacific ex Japan UCITS ETF (Acc),3101,SXR1
iShares USD Corporate Bond UCITS ETF (Dist),3094,IBCD
SPDR S&P US Dividend Aristocrats UCITS ETF,3038,SPYD
Amundi Prime All Country World UCITS ETF Dist,2988,WEBG
Xtrackers MSCI World Health Care UCITS ETF 1C,2984,XDWH
BNP Paribas Easy S&P 500 UCITS ETF EUR,2982,ESEE
Amundi Euro Government tilted Green Bond UCITS ETF Acc,2974,CB3G
iShares MSCI Europe SRI UCITS ETF (Acc),2951,IUSK
iShares MSCI EMU ESG Enhanced CTB UCITS ETF EUR (Acc),2945,EDM4
iShares MSCI USA UCITS ETF (Acc),2941,SXR4
iShares EURO STOXX UCITS ETF (DE),2933,EXSI
iShares USD Treasury Bond 7-10yr UCITS ETF (Dist),2913,IUSM
JPMorgan Europe Research Enhanced Index Equity (ESG) UCITS ETF EUR (acc),2881,JREE
Vanguard FTSE Emerging Markets UCITS ETF (USD) Distributing,2847,VFEM
Vanguard EUR Corporate Bond UCITS ETF (EUR) Distributing,2839,VECP
Fidelity Emerging Markets Equity Research Enhanced UCITS ETF ACC-USD,2838,FYER
UBS MSCI USA NSL UCITS ETF USD acc,2817,CSY1
iShares USD Floating Rate Bond UCITS ETF USD (Acc),2811,QDV4
Invesco MSCI USA Universal Screened UCITS ETF Acc,2798,ESGU
Amundi S&P 500 Swap UCITS ETF USD Acc,2786,10AP
Amundi Index Euro Corporate SRI 0-3 Y UCITS ETF DR (C),2766,ECR3
iShares Edge MSCI USA Value Factor UCITS ETF,2761,QDVI
Amundi Core S&P 500 Swap UCITS ETF EUR Dist,2751,LYPS
Invesco S&P 500 Scored & Screened UCITS ETF Acc,2742,5ESG
Vanguard FTSE 100 UCITS ETF (GBP) Accumulating,2731,VUKG
Vanguard USD Corporate Bond UCITS ETF Accumulating,2694,VUCE
Amundi EUR Overnight Return UCITS ETF Acc,2686,L8I3
Amundi Core MSCI USA UCITS ETF Acc,2677,WEBH
Xtrackers MSCI USA Swap UCITS ETF 1D,2675,XUSW
Invesco S&P 500 EUR Hedged UCITS ETF,2674,E500
Amundi S&P Eurozone Climate Paris Aligned UCITS ETF Acc,2656,ZPAB
Amundi MSCI USA ESG Broad Transition UCITS ETF Acc,2622,WEB2
HANetf Future of Defence UCITS ETF,2620,ASWC
Vanguard FTSE Japan UCITS ETF (USD) Distributing,2615,VJPN
Amundi MSCI World SRI Climate Paris Aligned UCITS ETF Acc,2605,XAMB
Xtrackers Eurozone Government Bond 1-3 UCITS ETF 1C,2565,DBXP
Xtrackers Physical Gold ETC (EUR),2562,XAD5
