,SPY,SP5Y.L,QQQ,TQQQ,QQQ5.L,IGM,XLKS.MI,FNGS,FNGU,MAGS,MAGX,MAG7.L,SMH,USD,SMH3.L,NVDA,NVD3.L,MSFT,MSF3.L
1,0.004661263881144496,0.01806485962706337,0.006786795692318747,0.018132916399987743,0.02912633559942584,0.008081004633745972,0.008509869425288428,0.011016388797861116,0.030722317821919972,0.009041781013477844,0.014331487966387283,0.034591764631323824,0.00948177055794815,0.025406830085651342,0.025531014988580698,0.025298511868134917,0.07166697853795753,0.006867766843443612,0.0176009049540069
2,0.00908173685733806,0.034409196408066556,0.013152008266141975,0.03472007163518206,0.05536961503308506,0.015697145897904805,0.016947747750413206,0.021441767776581844,0.06032105615006883,0.01823291957868613,0.02914973947549363,0.08028994893059588,0.018314961556868244,0.05000290115529054,0.04915993204398943,0.05058247329340803,0.14791997804120557,0.013201657726821888,0.03392757628129378
3,0.01390619686790717,0.05320511044383436,0.019984380111197773,0.05286422717132139,0.08437805409047501,0.02374613789422,0.025746214515316567,0.03213032467971238,0.09096435632509035,0.027345935056487237,0.04601699852281736,0.12726439844800433,0.028106411015597688,0.07620985180699338,0.07549217166025524,0.07639360384789241,0.2295821209716463,0.019852293134704664,0.05166308826347815
4,0.018028218044833302,0.06711743253192042,0.025763679123403625,0.0670145991708864,0.10534762103942523,0.0307436406236412,0.03345240835278813,0.041341203165993205,0.11637378730477889,0.03575100397947288,0.05696729420870143,0.16031386203120393,0.03665260522683229,0.09921192969431697,0.09610021030666448,0.10048028540403582,0.3062808130800028,0.025985778626892986,0.06706652563565707
5,0.022250055210636523,0.08260211710786046,0.031527011550797464,0.08135638693320314,0.12776577516182408,0.037695569905578576,0.041245788805703704,0.04996141538342718,0.13925961359680897,0.04428419190626143,0.0707057888677341,0.2057218371660876,0.04544252065517158,0.12425589705114087,0.11925017291184205,0.12625615474015853,0.3928486682310605,0.03225581792485573,0.08208651747145705
6,0.026796348913831605,0.09927004890642328,0.03767318153217615,0.09703135868223449,0.1518098087277663,0.045219479985153244,0.049260643397161304,0.05927523338177603,0.16451965024437157,0.05216822478398402,0.08317481146419005,0.23850298217409877,0.054711367558270774,0.15058673864100525,0.14346315671914395,0.1526232755861447,0.4833296384368378,0.03809179074409063,0.09550377490059472
7,0.031387758118173424,0.11667753318246435,0.043980451961651644,0.1137676434273942,0.17894356558413793,0.05311490414159923,0.057436745460774985,0.06896433573119616,0.19216248105863248,0.05998272649097945,0.09689729771765201,0.27555525648328033,0.06472656021856772,0.17908430006098144,0.17198569175283096,0.1801869514894604,0.586279635000175,0.04440218642774475,0.11137467403137805
8,0.036286315251311,0.13515421536870706,0.050692831225552244,0.1320139223538079,0.20791610158782317,0.06137738988909855,0.06545977446458419,0.07911386846225628,0.22254414259103095,0.06771607573683715,0.11675170544589057,0.31053603537321456,0.07479775012587551,0.20702523547632126,0.19993509608261217,0.20632031378453963,0.6824558878961506,0.051290694722827566,0.1296126473647534
9,0.04103911050820727,0.15328275410348968,0.057172092738748806,0.14921137075924779,0.23516576686452428,0.06928417326960018,0.0732853689451756,0.0889201664806257,0.25124321003540984,0.07568082400229408,0.134005022086804,0.3364490184618291,0.08442159673498902,0.23231405691695955,0.22498098304275796,0.23161405969111348,0.7820927655826343,0.05836680317591164,0.14846549598252687
10,0.0463201729990996,0.17364870108866223,0.06418624258683539,0.1681748635604778,0.2655088772195038,0.07777288067615319,0.08140533342690527,0.09991237905159774,0.2857548224711215,0.08312072756881063,0.14809808885680975,0.33977713071713506,0.09422790759627485,0.2583656205878105,0.2498334169326933,0.2586061930149628,0.884653095879789,0.06626828895151826,0.17016467771904994
