,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
32,BKNG270115C04700000,2025-11-05 20:33:27+00:00,4700.0,881.25,856.0,892.0,0.0,0.0,1.0,61,0.3677297877311707,True,REGULAR,USD
33,BKNG270115C04750000,2025-10-16 18:27:46+00:00,4750.0,888.0,828.0,864.0,0.0,0.0,1.0,51,0.36540379933357237,True,REGULAR,USD
34,BKNG270115C04800000,2025-11-06 14:33:04+00:00,4800.0,775.9,800.0,832.0,0.0,0.0,1.0,15,0.36093206518173215,True,REGULAR,USD
35,BKNG270115C04850000,2025-04-24 19:03:09+00:00,4850.0,957.7,1248.0,1288.0,0.0,0.0,,1,0.5837043430519102,True,REGULAR,USD
36,BKNG270115C04900000,2025-05-05 13:53:40+00:00,4900.0,1203.2,1332.0,1368.0,0.0,0.0,3.0,9,0.6336506285572052,True,REGULAR,USD
37,BKNG270115C04950000,2024-11-27 15:28:34+00:00,4950.0,1226.0,1073.3,1098.3,0.0,0.0,1.0,41,0.5135975841045379,False,REGULAR,USD
38,BKNG270115C05000000,2025-11-04 16:43:32+00:00,5000.0,790.5,692.0,728.0,0.0,0.0,1.0,8,0.35246733659744256,False,REGULAR,USD
39,BKNG270115C05050000,2025-04-11 15:01:08+00:00,5050.0,728.0,1100.0,1136.0,0.0,0.0,1.0,0,0.5473868809127809,False,REGULAR,USD
40,BKNG270115C05100000,2025-07-01 16:32:49+00:00,5100.0,1342.8,1072.0,1112.0,0.0,0.0,2.0,20,0.5436857079029084,False,REGULAR,USD
41,BKNG270115C05200000,2025-10-31 17:46:04+00:00,5200.0,699.5,592.0,628.0,0.0,0.0,1.0,4,0.34238233155250547,False,REGULAR,USD
42,BKNG270115C05250000,2024-12-09 15:16:10+00:00,5250.0,1087.6,725.4,750.6,0.0,0.0,,1,0.4081117691612244,False,REGULAR,USD
