,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,MAGS251003C00055000,2025-09-11 17:32:39+00:00,55.0,7.05,8.0,8.3,0.0,0.0,4,7,0.47949739257812496,True,REGULAR,USD
1,MAGS251003C00056000,2025-09-05 18:07:39+00:00,56.0,5.58,6.8,7.4,0.0,0.0,4,2,0.46533737792968755,True,REGULAR,USD
2,MAGS251003C00056500,2025-09-05 18:07:39+00:00,56.5,5.12,6.3,7.0,0.0,0.0,4,2,0.47070841796875,True,REGULAR,USD
3,MAGS251003C00057500,2025-09-11 18:16:28+00:00,57.5,4.9,5.4,5.9,0.0,0.0,34,6,0.39063109375,True,REGULAR,USD
4,MAGS251003C00058000,2025-09-12 19:19:03+00:00,58.0,5.25,5.1,5.4,1.19,29.310345,46,9,0.36524072265625,True,REGULAR,USD
5,MAGS251003C00058500,2025-09-12 19:19:03+00:00,58.5,4.8,4.7,4.9,1.0200002,26.984135,46,11,0.3398503515625,True,REGULAR,USD
6,MAGS251003C00059000,2025-09-11 16:56:45+00:00,59.0,3.39,4.2,4.6,0.0,0.0,4,0,0.3632876171875,True,REGULAR,USD
7,MAGS251003C00059500,2025-09-11 16:56:45+00:00,59.5,3.01,3.7,4.0,0.0,0.0,4,6,0.31250687499999996,True,REGULAR,USD
8,MAGS251003C00060000,2025-09-05 18:15:38+00:00,60.0,2.27,3.3,3.6,0.0,0.0,4,1,0.30664755859375,True,REGULAR,USD
9,MAGS251003C00060500,2025-09-12 18:31:41+00:00,60.5,2.92,2.9,3.1,0.60000014,25.862078,13,9,0.2778392529296875,True,REGULAR,USD
10,MAGS251003C00061000,2025-09-12 18:31:41+00:00,61.0,2.52,2.5,2.7,0.87,52.727276,6,8,0.26758544921875,True,REGULAR,USD
11,MAGS251003C00061500,2025-09-11 18:12:33+00:00,61.5,1.6,2.1,2.3,0.0,0.0,20,20,0.25391371093750004,True,REGULAR,USD
12,MAGS251003C00062000,2025-09-11 15:58:16+00:00,62.0,1.15,1.7,1.9,0.0,0.0,1,7,0.2375564526367187,True,REGULAR,USD
13,MAGS251003C00062500,2025-09-11 19:16:21+00:00,62.5,1.15,1.4,1.55,0.14999998,14.999998,2,3,0.2260819580078125,True,REGULAR,USD
14,MAGS251003C00064000,2025-09-10 13:30:21+00:00,64.0,0.7,0.6,0.75,0.32999998,89.189186,1,20,0.20410952148437497,False,REGULAR,USD
