,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,SPY251121P00370000,2025-08-29 18:21:24+00:00,370.0,0.36,0.36,0.37,0.030000001,9.090909,458.0,3078,0.49414568359375005,False,REGULAR,USD
1,SPY251121P00375000,2025-08-29 18:10:30+00:00,375.0,0.38,0.38,0.39,0.00999999,2.7027001,1.0,1346,0.4865773999023438,False,REGULAR,USD
2,SPY251121P00380000,2025-08-26 16:49:20+00:00,380.0,0.39,0.4,0.41,0.0,0.0,4.0,318,0.47900911621093745,False,REGULAR,USD
3,SPY251121P00385000,2025-08-29 16:24:27+00:00,385.0,0.44,0.43,0.44,0.03999999,9.999998,4.0,584,0.47241738525390625,False,REGULAR,USD
4,SPY251121P00390000,2025-08-29 13:31:57+00:00,390.0,0.41,0.45,0.46,-0.00999999,-2.3809502,18.0,186,0.4646049633789063,False,REGULAR,USD
5,SPY251121P00395000,2025-08-29 13:56:27+00:00,395.0,0.48,0.48,0.49,0.049999982,11.627903,54.0,2120,0.4577690942382813,False,REGULAR,USD
6,SPY251121P00400000,2025-08-29 16:59:44+00:00,400.0,0.5,0.5,0.51,0.00999999,2.0408144,52.0,610,0.4497125341796875,False,REGULAR,USD
7,SPY251121P00405000,2025-08-28 18:36:59+00:00,405.0,0.49,0.53,0.54,0.0,0.0,28.0,255,0.4426325268554688,False,REGULAR,USD
8,SPY251121P00410000,2025-08-29 17:58:38+00:00,410.0,0.57,0.56,0.57,0.00999999,1.7857125,32.0,867,0.43555251953125,False,REGULAR,USD
9,SPY251121P00415000,2025-08-29 17:14:33+00:00,415.0,0.6,0.59,0.6,0.030000031,5.2631636,2.0,84,0.4282283740234375,False,REGULAR,USD
10,SPY251121P00420000,2025-08-28 15:04:20+00:00,420.0,0.59,0.62,0.64,0.0,0.0,5.0,2776,0.42163664306640625,False,REGULAR,USD
11,SPY251121P00425000,2025-08-29 19:38:24+00:00,425.0,0.67,0.66,0.67,0.06999999,11.666665,130.0,200,0.4141904284667969,False,REGULAR,USD
12,SPY251121P00430000,2025-08-29 18:19:43+00:00,430.0,0.71,0.69,0.71,0.00999999,1.4285702,146.0,3765,0.40735455932617193,False,REGULAR,USD
13,SPY251121P00435000,2025-08-28 18:47:07+00:00,435.0,0.67,0.73,0.74,0.0,0.0,2.0,176,0.3996642065429688,False,REGULAR,USD
14,SPY251121P00440000,2025-08-29 14:08:22+00:00,440.0,0.74,0.77,0.78,0.04000002,5.7142887,11.0,145,0.39258419921875,False,REGULAR,USD
15,SPY251121P00445000,2025-08-26 19:48:17+00:00,445.0,0.74,0.81,0.82,-0.07999998,-9.756096,1.0,383,0.3853821228027343,False,REGULAR,USD
16,SPY251121P00450000,2025-08-28 19:52:29+00:00,450.0,0.86,0.85,0.86,0.09000003,11.688316,56.0,3044,0.37805797729492185,False,REGULAR,USD
17,SPY251121P00455000,2025-08-29 17:07:40+00:00,455.0,0.91,0.9,0.91,0.09000003,10.975615,2.0,620,0.37134417724609375,False,REGULAR,USD
18,SPY251121P00460000,2025-08-27 20:03:24+00:00,460.0,0.91,0.94,0.95,0.0,0.0,1.0,169,0.36377589355468753,False,REGULAR,USD
19,SPY251121P00465000,2025-08-28 18:29:29+00:00,465.0,1.0,0.99,1.0,0.100000024,11.1111145,10.0,131,0.3566958862304687,False,REGULAR,USD
20,SPY251121P00470000,2025-08-29 16:42:20+00:00,470.0,1.06,1.04,1.05,0.119999945,12.765951,60.0,472,0.34961587890624996,False,REGULAR,USD
21,SPY251121P00475000,2025-08-29 18:21:35+00:00,475.0,1.11,1.09,1.11,0.110000014,11.000002,6.0,598,0.34278000976562495,False,REGULAR,USD
22,SPY251121P00480000,2025-08-29 19:58:07+00:00,480.0,1.15,1.15,1.17,0.120000005,11.650486,198.0,1737,0.3358220715332031,False,REGULAR,USD
23,SPY251121P00485000,2025-08-29 13:30:07+00:00,485.0,1.12,1.21,1.23,-0.029999971,-2.6086931,1.0,590,0.32874206420898433,False,REGULAR,USD
24,SPY251121P00490000,2025-08-29 18:40:40+00:00,490.0,1.3,1.28,1.29,0.109999895,9.243688,7.0,1166,0.3215399877929687,False,REGULAR,USD
25,SPY251121P00495000,2025-08-29 15:20:34+00:00,495.0,1.36,1.35,1.36,0.14999998,12.396691,29.0,1278,0.3145820495605468,False,REGULAR,USD
26,SPY251121P00500000,2025-08-29 20:02:42+00:00,500.0,1.41,1.43,1.44,0.120000005,9.302326,32.0,19441,0.3078682495117187,False,REGULAR,USD
27,SPY251121P00505000,2025-08-29 18:08:00+00:00,505.0,1.52,1.51,1.52,0.15999997,11.764703,20.0,291,0.3009103112792969,False,REGULAR,USD
28,SPY251121P00510000,2025-08-29 20:00:17+00:00,510.0,1.57,1.6,1.61,0.13,9.027777,36.0,1342,0.2941965112304687,False,REGULAR,USD
