Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2018-01-29 00:00:00+01:00,112.22000122070312,112.22000122070312,111.95999908447266,111.95999908447266,35,0.0,0.0,0.0
2018-02-05 00:00:00+01:00,110.44000244140625,110.44000244140625,108.31999969482422,108.31999969482422,1426,0.0,0.0,0.0
2018-02-12 00:00:00+01:00,108.31999969482422,108.33999633789062,107.5,108.33999633789062,526,0.0,0.0,0.0
2018-02-19 00:00:00+01:00,108.33999633789062,109.95999908447266,108.33999633789062,109.95999908447266,99,0.0,0.0,0.0
2018-02-26 00:00:00+01:00,111.0199966430664,111.16000366210938,111.0199966430664,111.16000366210938,18,0.0,0.0,0.0
2018-03-05 00:00:00+01:00,111.16000366210938,111.16000366210938,107.37999725341797,108.19999694824219,1585,0.0,0.0,0.0
2018-03-12 00:00:00+01:00,108.19999694824219,108.19999694824219,108.19999694824219,108.19999694824219,0,0.0,0.0,0.0
2018-03-19 00:00:00+01:00,108.0,108.0199966430664,107.45999908447266,107.45999908447266,3487,0.0,0.0,0.0
2018-03-26 00:00:00+02:00,107.45999908447266,107.45999908447266,107.45999908447266,107.45999908447266,0,0.0,0.0,0.0
2018-04-02 00:00:00+02:00,107.45999908447266,107.45999908447266,106.81999969482422,107.27999877929688,317,0.0,0.0,0.0
2018-04-09 00:00:00+02:00,107.27999877929688,107.27999877929688,107.27999877929688,107.27999877929688,0,0.0,0.0,0.0
2018-04-16 00:00:00+02:00,107.27999877929688,107.27999877929688,107.27999877929688,107.27999877929688,0,0.0,0.0,0.0
2018-04-23 00:00:00+02:00,107.27999877929688,112.4800033569336,107.27999877929688,112.41999816894531,662,0.0,0.0,0.0
2018-04-30 00:00:00+02:00,112.41999816894531,115.12000274658203,112.41999816894531,115.12000274658203,13,0.0,0.0,0.0
2018-05-07 00:00:00+02:00,115.12000274658203,116.13999938964844,115.12000274658203,116.04000091552734,1794,0.0,0.0,0.0
2018-05-14 00:00:00+02:00,116.04000091552734,116.04000091552734,116.04000091552734,116.04000091552734,0,0.0,0.0,0.0
