Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-10-12 00:00:00-04:00,25.557676638417032,25.681785522901222,24.01517398080894,24.768695831298828,41535000,0.0,0.0
2020-10-19 00:00:00-04:00,24.954862557143375,26.151632519068762,23.94425763815868,25.95660400390625,49058800,0.0,0.0
2020-10-26 00:00:00-04:00,25.38924102446589,25.65519079839547,24.289986355117655,25.327186584472656,47739700,0.0,0.0
2020-11-02 00:00:00-05:00,25.531082922945302,27.791648631146376,25.141025918706447,25.97433090209961,70906700,0.0,0.0
2020-11-09 00:00:00-05:00,27.348400685334077,27.61434879680815,25.513354319935132,26.772178649902344,51200900,0.0,0.0
2020-11-16 00:00:00-05:00,27.27747664026523,30.229505946472166,27.144502606152866,30.131994247436523,65336500,0.0,0.0
2020-11-23 00:00:00-05:00,30.362484418152608,31.452873963714225,29.697612496587222,31.08941078186035,43357900,0.0,0.0
2020-11-30 00:00:00-05:00,30.885523754851476,33.013115712789705,30.867793427335336,32.75603103637695,65275800,0.0,0.0
2020-12-07 00:00:00-05:00,32.48121223267587,33.084029770848076,30.94757458993929,31.559255599975586,53060600,0.0,0.0
2020-12-14 00:00:00-05:00,31.780875718310753,32.28617809576441,30.46886223108779,31.257843017578125,74204500,0.24,0.0
2020-12-21 00:00:00-05:00,30.863089713676782,32.52316041731327,30.452531298584887,32.12153244018555,40480700,0.0,0.0
2020-12-28 00:00:00-05:00,32.21079305063701,33.43353485966883,32.15724104704434,33.25503158569336,27225900,0.0,0.0
2021-01-04 00:00:00-05:00,33.29072195849448,36.36096772674674,32.31788301059268,35.754058837890625,70196000,0.0,0.0
2021-01-11 00:00:00-05:00,35.34350792220571,41.82315319756545,35.20070600067894,40.43083190917969,75387600,0.0,0.0
2021-01-18 00:00:00-05:00,39.377668911188756,40.89494154972955,38.27987843277392,40.68074035644531,72760500,0.0,0.0
2021-01-25 00:00:00-05:00,40.53793524691388,54.20230929625008,40.45761235248533,43.2868766784668,141262100,0.0,0.0
2021-02-01 00:00:00-05:00,43.322571570082076,48.9811027852506,43.25116891276372,48.23139190673828,84024700,0.0,0.0
2021-02-08 00:00:00-05:00,47.44597743082947,52.61362704616267,46.89262048173657,52.04241943359375,57235100,0.0,0.0
2021-02-15 00:00:00-05:00,51.9621065785015,56.879851580696034,51.19454487400649,55.951637268066406,53359000,0.0,0.0
