Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2024-08-05 00:00:00-04:00,75.66394963471906,79.57471622710057,75.6048472731003,78.39262390136719,6040000,0.0,0.0,0.0
2024-08-06 00:00:00-04:00,79.15113367360483,81.15577399650132,78.52166795429034,79.65352630615234,1315300,0.0,0.0,0.0
2024-08-07 00:00:00-04:00,80.98339010150721,81.50548106824009,78.72755699677255,78.87532043457031,757300,0.0,0.0,0.0
2024-08-08 00:00:00-04:00,80.52038925528731,81.61382800687713,79.61411799747434,81.55472564697266,539100,0.0,0.0,0.0
2024-08-09 00:00:00-04:00,81.57443307413105,82.66787194831166,81.41682425819565,82.37235260009766,493400,0.0,0.0,0.0
2024-08-12 00:00:00-04:00,82.63830409515023,83.20472170163892,82.15561732954326,82.77621459960938,282900,0.0,0.0,0.0
2024-08-13 00:00:00-04:00,83.45593369184522,84.69713592529297,83.45593369184522,84.69713592529297,605800,0.0,0.0,0.0
2024-08-14 00:00:00-04:00,84.93355242721468,85.5147457024018,84.40160861579807,85.2093734741211,738200,0.0,0.0,0.0
2024-08-15 00:00:00-04:00,86.25355104426674,87.19922637939453,85.96295442100778,87.19922637939453,822900,0.0,0.0,0.0
2024-08-16 00:00:00-04:00,86.73624360585842,87.27803276296005,86.55892901440204,87.0711669921875,410400,0.0,0.0,0.0
2024-08-19 00:00:00-04:00,86.98251853173036,88.08580270692009,86.6377347114238,88.0562515258789,14305300,0.0,0.0,0.0
2024-08-20 00:00:00-04:00,88.0464096069336,88.5488022939645,87.6819349745604,88.0464096069336,1089300,0.0,0.0,0.0
2024-08-21 00:00:00-04:00,88.16462225282775,88.77537429694083,87.85924998855158,88.48970031738281,277900,0.0,0.0,0.0
2024-08-22 00:00:00-04:00,88.96251455508049,89.149682038372,87.16967042134002,87.4356460571289,602700,0.0,0.0,0.0
2024-08-23 00:00:00-04:00,88.00699644072047,88.68670368153187,87.39625197790205,88.2729721069336,502300,0.0,0.0,0.0
2024-08-26 00:00:00-04:00,88.32222333196893,88.38526384462307,87.14997643142715,87.5341567993164,487000,0.0,0.0,0.0
2024-08-27 00:00:00-04:00,87.18938083546573,88.01684393383982,86.89385400572671,87.88878631591797,221300,0.0,0.0,0.0
2024-08-28 00:00:00-04:00,87.80013146584989,87.87893962809115,86.4702756691587,87.15983581542969,309900,0.0,0.0,0.0
2024-08-29 00:00:00-04:00,87.2780357990987,88.00699247130676,86.53922622825607,86.7066879272461,549300,0.0,0.0,0.0
2024-08-30 00:00:00-04:00,87.35684759373886,87.93311818111923,86.67714035528822,87.91834259033203,423800,0.0,0.0,0.0
2024-09-03 00:00:00-04:00,87.37653910671179,87.39624490327459,84.66757077739304,85.16011047363281,2640100,0.0,0.0,0.0
2024-09-04 00:00:00-04:00,84.50996338824021,85.42115733210298,84.22428945780274,84.84488677978516,474900,0.0,0.0,0.0
2024-09-05 00:00:00-04:00,84.50997844553639,85.495058029913,84.18490037895751,84.57893371582031,1226600,0.0,0.0,0.0
2024-09-06 00:00:00-04:00,84.57891839088038,84.70697600804456,82.3821880089016,82.66786193847656,374000,0.0,0.0,0.0
2024-09-09 00:00:00-04:00,83.50518746387202,83.90907367386536,82.90429587199262,83.84011840820312,526300,0.0,0.0,0.0
2024-09-10 00:00:00-04:00,84.12578185493685,84.49025642121042,83.27861297380252,84.38190460205078,365400,0.0,0.0,0.0
2024-09-11 00:00:00-04:00,84.5986250435305,86.58848984904493,83.23921803448611,86.42102813720703,416500,0.0,0.0,0.0
